"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Attico via della Sierra Nevada 23, Eur, Roma","2700.0","4","161.0","2","4"
"2","Appartamento via Giovanni Severano, Bologna, Roma","4300.0","5+","220.0","3","4"
"3","Quadrilocale via Firenze, Repubblica, Roma","2700.0","4","130.0","nan","4"
"4","Trilocale via della Colonna Antonina, Montecitorio, Roma","3300.0","3","100.0","2","4"
"5","Appartamento via Proba Petronia, Valle Aurelia, Roma","2150.0","5","210.0","2","4"
"6","Appartamento via Castelfranco Veneto, Fleming, Roma","1900.0","5","141.0","2","4"
"7","Attico via Calalzo, Cortina d'Ampezzo, Roma","3000.0","3","160.0","3","4"
"8","Appartamento via Aladino Govoni, Balduina, Roma","2400.0","5+","162.0","3+","4"
"9","Trilocale via Flaminia, Flaminio, Roma","1850.0","3","80.0","2","4"
"10","Appartamento via delle Tre Madonne, Parioli, Roma","7000.0","5+","336.0","3+","4"
"11","Quadrilocale via Bonaldo Stringher, Vigna Clara - Vigna Stelluti, Roma","1600.0","4","130.0","2","4"
"12","Appartamento via Ermete Novelli 6, Parioli, Roma","2500.0","5","160.0","2","4"
"13","Appartamento via Nicolò Piccolomini, Gregorio VII - Piccolomini, Roma","4600.0","5+","246.0","2","4"
"14","Trilocale via delle Quattro Fontane, Barberini, Roma","1800.0","3","80.0","nan","4"
"15","Quadrilocale viale Giorgio Ribotta, Torrino, Roma","3200.0","4","150.0","2","4"
"16","Trilocale via della Farnesina, Camilluccia - Farnesina, Roma","850.0","3","62.0","nan","4"
"17","Appartamento in villa Località Colle Romano, Tiberina, Roma","850.0","2","51.0","nan","4"
"18","Attico viale dell'Umanesimo, Eur, Roma","8300.0","5+","350.0","3+","4"
"19","Trilocale via Antonio Bertoloni 3D, Parioli, Roma","2200.0","3","90.0","2","4"
"20","Appartamento via delle Tre Madonne, Parioli, Roma","5200.0","5+","261.0","3","4"
"21","Attico via Bartolomeo Gosio, Fleming, Roma","2200.0","4","165.0","3","4"
"22","Villa unifamiliare via di San Sebastiano 1, Appia Pignatelli, Roma","6500.0","4","185.0","3","4"
"23","Appartamento via Passignano sul Trasimeno, Fleming, Roma","2300.0","5","198.0","3","4"
"24","Appartamento via dei Monti Parioli 12, Parioli, Roma","9500.0","5+","330.0","3+","4"
"25","Appartamento via Nicola Martelli 3, Euclide, Roma","4200.0","5+","280.0","3+","4"
"26","Trilocale via del Monte della Farina, Largo Argentina, Roma","2200.0","3","110.0","nan","2"
"27","Appartamento via Guido Banti, Fleming, Roma","2400.0","5","186.0","3","2"
"28","Appartamento via Pompeo Trogo, Balduina, Roma","1700.0","5","138.0","2","2"
"29","Appartamento via Giuseppe Mangili, Parioli, Roma","6700.0","5+","322.0","3","2"
"30","Trilocale via Palermo 93, Monti, Roma","1650.0","3","85.0","2","2"
"31","Quadrilocale largo Corrado Ricci, Colosseo - Fori Imperiali, Roma","2900.0","4","130.0","2","2"
"32","Loft via Casilina 3T, San Giovanni, Roma","900.0","2","50.0","nan","2"
