"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Trilocale via San Secondo,45, San Secondo, Torino","1500.0","3","70.0","nan","1"
"2","Bilocale via Pietro Baiardi,25, Nizza Millefonti, Torino","1600.0","2","50.0","nan","1"
"3","Monolocale via Po, Giardini Reali, Torino","300.0","nan","30.0","nan","1"
"4","Quadrilocale via Giuseppe Mazzini 38, Via della Rocca, Torino","1900.0","4","150.0","2","1"
"5","Attico via Cernaia 18, Quadrilatero Romano, Torino","3500.0","5","156.0","3","1"
"6","Attico via Piero Gobetti 7, Via Roma, Torino","4500.0","4","145.0","2","1"
"7","Appartamento corso Duca Degli Abruzzi 17, Crocetta, Torino","1500.0","5","155.0","2","1"
"8","Appartamento via Giovanni Servais 176, Parella, Torino","1100.0","5+","200.0","2","1"
"9","Appartamento via Carlo Alberto 38, Via Roma, Torino","3750.0","5+","220.0","3","1"
"10","Appartamento via Cavour 3, Via Roma, Torino","2000.0","5+","200.0","3","1"
"11","Trilocale via Alessandro Riberi, Giardini Reali, Torino","1500.0","3","65.0","nan","1"
"12","Quadrilocale Strada della Pronda 69, Pozzo Strada, Torino","833.0","4","111.0","2","1"
"13","Trilocale Strada della Pronda 69, Pozzo Strada, Torino","710.0","3","94.0","nan","1"
"14","Appartamento via Santa Chiara 39, Cittadella, Torino","950.0","5","75.0","nan","1"
"15","Bilocale via Vittorio Alfieri 6, Via Roma, Torino","1750.0","2","115.0","2","1"
"16","Quadrilocale via Giuseppe Garibaldi 5, Giardini Reali, Torino","1200.0","4","110.0","nan","1"
"17","Bilocale via Ottavio Revel 5, Cittadella, Torino","820.0","2","70.0","nan","1"
"18","Trilocale via Pio VII 168, Mirafiori Sud - Onorato Vigliani, Torino","495.0","3","80.0","nan","1"
"19","Mansarda via Bligny 10, Quadrilatero Romano, Torino","1100.0","2","60.0","nan","1"
"20","Quadrilocale via Borgofranco 25/13, Sassi, Torino","1400.0","4","122.0","3","1"
"21","Quadrilocale via Alfonso La Marmora, Crocetta, Torino","1500.0","4","154.0","2","1"
"22","Bilocale via Gorizia, Santa Rita, Torino","350.0","2","60.0","nan","1"
"23","Trilocale via Cagliari 12, Regio Parco, Torino","750.0","3","68.0","nan","1"
"24","Quadrilocale corso Galileo Ferraris 26, Cittadella, Torino","750.0","4","78.0","nan","1"
"25","Monolocale via Sant'Antonio da Padova, Cittadella, Torino","350.0","nan","25.0","nan","1"
"26","Quadrilocale corso San Maurizio, Giardini Reali, Torino","690.0","4","100.0","2","6"
"27","Trilocale corso Monte Cucco, Pozzo Strada, Torino","450.0","3","75.0","nan","6"
"28","Bilocale Strada Comunale Val San Martino, Colle della Maddalena, Torino","450.0","2","45.0","nan","6"
"29","Monolocale via Antonio Fontanesi, Vanchiglia, Torino","250.0","nan","20.0","nan","6"
"30","Trilocale via Francesco Cigna 44, Aurora, Torino","800.0","3","80.0","nan","6"
"31","Quadrilocale via Tiziano 12, San Salvario - Dante, Torino","885.0","4","90.0","nan","6"
"32","Trilocale via Nicola Fabrizi 107, Parella, Torino","200.0","3","75.0","nan","6"
"33","Quadrilocale corso Francia 266, Parella, Torino","900.0","4","120.0","nan","6"
"34","Trilocale via Luigi Lagrange 44, Via Roma, Torino","1200.0","3","45.0","nan","6"
"35","Quadrilocale via VOLTA 9, Via Roma, Torino","1400.0","4","115.0","2","6"
"36","Terratetto unifamiliare via Paisiello 56, Barriera di Milano, Torino","4000.0","5+","803.0","3+","6"
"37","Trilocale via Caprera 47, Santa Rita, Torino","950.0","3","105.0","2","6"
"38","Bilocale via Giovanni Giolitti 24, Via Roma, Torino","950.0","2","75.0","nan","6"
"39","Trilocale via EXILLES, Parella, Torino","690.0","3","68.0","nan","6"
"40","Trilocale ottimo stato, primo piano, San Salvario - Baretti, Torino","850.0","3","80.0","nan","6"
"41","Quadrilocale via BERTOLA, Via Roma, Torino","750.0","4","95.0","nan","6"
"42","Quadrilocale via OTTAVIO REVEL, Cittadella, Torino","750.0","4","90.0","nan","6"
"43","Bilocale via Conte di Roccavione, Borgo Vittoria, Torino","400.0","2","75.0","nan","6"
"44","Bilocale via Conte di Roccavione, Borgo Vittoria, Torino","400.0","2","75.0","nan","6"
"45","Bilocale corso Vercelli, Rebaudengo, Torino","420.0","2","60.0","nan","6"
"46","Monolocale via Sant'Antonio da Padova, Cittadella, Torino","350.0","nan","25.0","nan","6"
"47","Trilocale corso Giulio Cesare, Barriera di Milano, Torino","440.0","3","70.0","nan","6"
"48","Monolocale via Abate Pietro Chanoux, Pozzo Strada, Torino","310.0","nan","25.0","nan","6"
"49","Trilocale via Chiesa della Salute, Borgo Vittoria, Torino","430.0","3","75.0","nan","6"
"50","Bilocale via Gorizia, Santa Rita, Torino","350.0","2","60.0","nan","6"
"51","Bilocale via Albenga, Lingotto, Torino","350.0","2","45.0","nan","1"
"52","Monolocale via Monfalcone, Santa Rita, Torino","300.0","nan","20.0","nan","1"
"53","Mansarda corso Toscana, Lucento, Torino","300.0","nan","25.0","nan","1"
"54","Bilocale piazza Castello, Giardini Reali, Torino","600.0","2","30.0","nan","1"
"55","Palazzo - Edificio Torino piazza Pietro Francesco Guala 147, Mirafiori Sud - Onorato Vigliani, Torino","8500.0","5+","900.0","3+","1"
"56","Bilocale via Monte di Pietà 2, Via Roma, Torino","1350.0","2","62.0","nan","1"
"57","Bilocale via Monte di Pietà 2, Via Roma, Torino","1350.0","2","62.0","nan","1"
"58","Appartamento corso Stati Uniti 3, San Secondo, Torino","1500.0","5","160.0","2","1"
"59","Bilocale Galleria Enzo Tortora 21, Piazza Solferino, Torino","830.0","2","65.0","nan","1"
"60","Quadrilocale via Giovanni Battista Viotti 1, Via Roma, Torino","nan","4","124.0","2","1"
"61","Trilocale corso Alcide De Gasperi 53, Crocetta, Torino","720.0","3","78.0","2","1"
"62","Palazzo - Edificio Lungo Dora Pietro Colletta 75, Regio Parco, Torino","2500.0","5","206.0","3","1"
"63","Bilocale via dell'Arcivescovado 2, Via Roma, Torino","1100.0","2","50.0","nan","1"
"64","Monolocale via Barletta 131, Santa Rita, Torino","510.0","nan","38.0","nan","1"
"65","Trilocale via Madonna Delle Rose 42, Lingotto, Torino","565.0","3","80.0","nan","1"
"66","Quadrilocale corso Re Umberto 42, Crocetta, Torino","1200.0","4","141.0","nan","1"
"67","Trilocale corso Piero Maroncelli 51, Mirafiori Sud - Onorato Vigliani, Torino","650.0","3","87.0","nan","1"
"68","Bilocale via Caprie 14, Cit Turin, Torino","500.0","2","48.0","nan","1"
"69","Bilocale corso Brianza 34, Vanchiglietta, Torino","580.0","2","40.0","nan","1"
"70","Monolocale piazza Statuto, Cittadella, Torino","320.0","nan","15.0","nan","1"
"71","Monolocale corso Belgio, Vanchiglietta, Torino","300.0","nan","15.0","nan","1"
"72","Monolocale piazza Statuto, Cittadella, Torino","260.0","nan","20.0","nan","1"
"73","Quadrilocale via Cavalli 38, Cit Turin, Torino","1200.0","4","116.0","2","1"
"74","Appartamento via Pellice 6, Cenisia, Torino","1160.0","5+","130.0","2","1"
"75","Trilocale corso Grosseto 120, Borgo Vittoria, Torino","550.0","3","70.0","nan","1"
"76","Mansarda via Refrancore 64, Madonna di Campagna, Torino","600.0","3","80.0","2","10"
"77","Mansarda Strada del Morozzo 14, Colle della Maddalena, Torino","1200.0","3","90.0","2","10"
"78","Appartamento via Maria Vittoria , 18, Via Roma, Torino","4518.0","5","191.0","3","10"
"79","Trilocale via Tommaso Grossi, San Salvario - Dante, Torino","650.0","3","70.0","nan","10"
"80","Bilocale via Fossata, Barriera di Milano, Torino","400.0","2","30.0","nan","10"
"81","Bilocale corso Regina Margherita, Vanchiglia, Torino","500.0","2","50.0","nan","10"
"82","Bilocale via Aurelio Saffi, Cit Turin, Torino","400.0","2","55.0","nan","10"
"83","Monolocale piazza Rivoli, Cit Turin, Torino","400.0","nan","45.0","nan","10"
"84","Bilocale corso Carlo e Nello Rosselli, Santa Rita, Torino","460.0","2","55.0","nan","10"
"85","Bilocale corso Vercelli, Rebaudengo, Torino","420.0","2","60.0","nan","10"
"86","Bilocale via Zumaglia, Parella, Torino","550.0","2","45.0","nan","10"
"87","Monolocale via Pellice, Cenisia, Torino","400.0","nan","30.0","nan","10"
"88","Monolocale corso Toscana, Lucento, Torino","300.0","nan","20.0","nan","10"
