"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Appartamento via del Rione Sirignano, Chiaia, Napoli","4000.0","5+","330.0","3","1"
"2","Trilocale corso Vittorio Emanuele, Piazza Amedeo - Parco Margherita, Napoli","2000.0","3","105.0","2","1"
"3","Bilocale via Domenico Morelli 7, Chiaia, Napoli","1350.0","2","50.0","nan","1"
"4","Appartamento via San Pasquale 62, Chiaia, Napoli","nan","5","178.0","2","1"
"5","Trilocale viale Colli Aminei, Colli Aminei - Capodimonte, Napoli","900.0","3","100.0","nan","1"
"6","Appartamento via Gneo Nevio 84, Posillipo, Napoli","nan","5+","241.0","3","1"
"7","Open space, buono stato, piano terra, Chiaia, Napoli","4000.0","5+","230.0","3","1"
"8","Quadrilocale via ferdinando russo 1, Posillipo, Napoli","4000.0","4","155.0","2","1"
"9","Quadrilocale via Vecchia Napoli 42, Chiaiano, Napoli","720.0","4","110.0","2","1"
"10","Trilocale corso Vittorio Emanuele 466, Piazza Canneto - Salvator Rosa, Napoli","1100.0","3","70.0","2","1"
"11","Trilocale via Alessandro Manzoni, Posillipo, Napoli","1250.0","3","50.0","nan","1"
"12","Bilocale Vico San Severino, Centro Storico, Napoli","790.0","2","60.0","nan","1"
"13","Quadrilocale via Michelangelo da Caravaggio, 119, Fuorigrotta, Napoli","1600.0","4","110.0","2","1"
"14","Bilocale Vico della Neve, Stella - Materdei, Napoli","750.0","2","39.0","nan","1"
"15","Trilocale via Giacomo Leopardi, Fuorigrotta, Napoli","1150.0","3","80.0","2","1"
"16","Appartamento via Francesco Giordani, Mergellina - Piedigrotta, Napoli","1700.0","5","140.0","2","1"
"17","Monolocale via Raffaele Ruggiero 119, Agnano, Napoli","600.0","nan","35.0","nan","1"
"18","Bilocale via Eduardo Dalbono 11, Vomero, Napoli","690.0","2","25.0","nan","1"
"19","Trilocale via Cintia, Traiano, Napoli","890.0","3","95.0","nan","1"
"20","Appartamento via Alessandro Manzoni 176, Posillipo, Napoli","2000.0","5","120.0","2","1"
"21","Appartamento Parco Arcadia 143, Colli Aminei - Capodimonte, Napoli","1500.0","5","140.0","3","1"
"22","Monolocale via Fabio Massimo 24, Fuorigrotta, Napoli","500.0","nan","35.0","nan","1"
"23","Quadrilocale via Edoardo Nicolardi 67, Colli Aminei - Capodimonte, Napoli","1100.0","4","115.0","2","1"
"24","Quadrilocale via Gian Lorenzo Bernini 104, Vomero, Napoli","1300.0","4","120.0","2","1"
"25","Bilocale via Nardones, Quartieri Spagnoli, Napoli","920.0","2","65.0","nan","1"
"26","Appartamento via Edoardo Nicolardi 191, Colli Aminei - Capodimonte, Napoli","1100.0","5","100.0","2","4"
"27","Bilocale via Francesco Cilea 110, Vomero, Napoli","900.0","2","65.0","nan","4"
"28","Trilocale viale di Augusto 6, Fuorigrotta, Napoli","750.0","3","83.0","nan","4"
"29","Quadrilocale via crispi 97, Piazza Amedeo - Parco Margherita, Napoli","2000.0","4","150.0","2","4"
"30","Bilocale viale di Augusto 6, Fuorigrotta, Napoli","700.0","2","83.0","nan","4"
"31","Trilocale via Ascensione 5, Chiaia, Napoli","1600.0","3","90.0","nan","4"
"32","Appartamento via Posillipo 290, Posillipo, Napoli","2500.0","5","290.0","3+","4"
"33","Quadrilocale via caio duilio 22, Fuorigrotta, Napoli","1100.0","4","150.0","3","4"
"34","Quadrilocale via dell'Epomeo 85, Soccavo, Napoli","1300.0","4","107.0","2","4"
"35","Trilocale via Posillipo 231, Posillipo, Napoli","950.0","3","100.0","2","4"
"36","Trilocale viale Maria Bakunin, Traiano, Napoli","700.0","3","63.0","nan","4"
"37","Bilocale via Aniello Falcone 186, Vomero, Napoli","1100.0","2","65.0","nan","4"
"38","Quadrilocale via Edoardo Nicolardi 52, Colli Aminei - Capodimonte, Napoli","1000.0","4","110.0","2","4"
"39","Trilocale via Mariano Semmola 88, Rione Alto, Napoli","1100.0","3","95.0","nan","4"
"40","Quadrilocale via Giuseppe Orsi, Arenella, Napoli","1400.0","4","120.0","2","4"
"41","Mansarda via Del Rione Sirignano, Chiaia, Napoli","950.0","2","52.0","nan","4"
"42","Trilocale piazza Sannazzaro 63, Posillipo, Napoli","1700.0","3","150.0","2","4"
"43","Appartamento via Partenope, Santa Lucia, Napoli","5000.0","5+","230.0","2","4"
"44","Trilocale via Francesco Cilea 165, Vomero, Napoli","1090.0","3","80.0","nan","4"
"45","Quadrilocale via Parco Carelli 34, Posillipo, Napoli","1200.0","4","100.0","3","4"
"46","Bilocale via montedonzelli 49, Arenella, Napoli","989.0","2","70.0","nan","4"
"47","Quadrilocale via Posillipo, Posillipo, Napoli","1450.0","4","120.0","2","4"
"48","Trilocale via Giovanni Scherillo 6, Tribunali, Napoli","1200.0","3","100.0","nan","4"
"49","Bilocale via eurialo 110, Bagnoli, Napoli","800.0","2","60.0","nan","4"
"50","Trilocale via Domenico Fontana, Arenella, Napoli","950.0","3","85.0","2","4"
"51","Trilocale C.so Vittorio Emanuele 112, Piazza Amedeo - Parco Margherita, Napoli","2000.0","3","121.0","2","5 - 6"
"52","Bilocale corso Vittorio Emanuele 26, Mergellina - Piedigrotta, Napoli","900.0","2","51.0","nan","5 - 6"
"53","Bilocale via Siro Solazzi 6, Colli Aminei - Capodimonte, Napoli","700.0","2","70.0","nan","5 - 6"
"54","Bilocale via dell'epomeo, Soccavo, Napoli","700.0","2","65.0","nan","5 - 6"
"55","Trilocale via Manzoni 78, Posillipo, Napoli","1500.0","3","105.0","2","5 - 6"
"56","Appartamento via dei Mille 76, Chiaia, Napoli","2900.0","5","121.0","3","5 - 6"
"57","Bilocale via Ferdinando Galiani 20, Mergellina - Piedigrotta, Napoli","1800.0","2","40.0","nan","5 - 6"
"58","Trilocale via Due Portoni, Chiaiano, Napoli","650.0","3","101.0","nan","5 - 6"
"59","Trilocale via Umbria 77, Secondigliano, Napoli","550.0","3","135.0","nan","5 - 6"
"60","Trilocale via II traversa Macello 12, Poggioreale, Napoli","650.0","3","80.0","nan","5 - 6"
"61","Bilocale via Camillo De Nardis 10, Vomero, Napoli","700.0","2","50.0","nan","5 - 6"
"62","Trilocale via Luca Giordano, Vomero, Napoli","1100.0","3","85.0","2","5 - 6"
"63","Bilocale via Donnalbina, Centro Storico, Napoli","725.0","2","60.0","2","5 - 6"
"64","Appartamento via Kagoshima 36, Vomero, Napoli","1700.0","5","125.0","2","5 - 6"
"65","Bilocale via Ponti Rossi 269, Ponti Rossi, Napoli","750.0","2","55.0","nan","5 - 6"
"66","Trilocale via Camillo De Nardis 63, Vomero, Napoli","1200.0","3","88.0","nan","5 - 6"
"67","Quadrilocale via Alessandro Manzoni, Posillipo, Napoli","1000.0","4","110.0","2","5 - 6"
"68","Trilocale corso Vittorio Emanuele, Piazza Canneto - Salvator Rosa, Napoli","1100.0","3","90.0","2","5 - 6"
"69","Quadrilocale via Emilio Scaglione 135, Chiaiano, Napoli","700.0","4","130.0","nan","5 - 6"
"70","Trilocale via Soffritto, Pianura, Napoli","500.0","3","70.0","2","5 - 6"
