"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale ottimo stato, primo piano, De Gasperi - Croce Rossa, Palermo","700.0","2","68.0","nan","1"
"2","Bilocale piazza Castelnuovo 12, Politeama - Ruggiero Settimo, Palermo","900.0","2","55.0","nan","1"
"3","Villa unifamiliare via Alfredo Niceforo 22, Mondello - Valdesi, Palermo","2500.0","5+","200.0","3","1"
"4","Villa unifamiliare via Antonio Cederna 7, Cardillo, Palermo","3500.0","5+","544.0","3+","1"
"5","Quadrilocale viale Strasburgo 214, Strasburgo - Belgio, Palermo","870.0","4","100.0","2","1"
"6","Trilocale ottimo stato, secondo piano, Roma - Cavour, Palermo","1100.0","3","75.0","2","1"
"7","Villa bifamiliare, buono stato, 126 m², Mondello - Valdesi, Palermo","1200.0","5","126.0","2","1"
"8","Palazzo - Edificio viale delle Alpi 6, Notarbartolo - Sciuti, Palermo","nan","nan","1.75","nan","1"
"9","Attico via Ammiraglio Giovanni Bettolo, Acquasanta, Palermo","590.0","2","60.0","nan","1"
"10","Trilocale via Luigi Settembrini 2, Noce, Palermo","580.0","3","81.0","nan","1"
"11","Quadrilocale via Castellana 32, Boccadifalco - Baida, Palermo","680.0","4","120.0","2","1"
"12","Bilocale via Divisi 58, Kalsa, Palermo","400.0","2","40.0","nan","1"
"13","Monolocale via Francesco Petrarca 36, Libertà - Villabianca, Palermo","650.0","nan","40.0","nan","1"
"14","Bilocale via Agostino Scilla 12, Zisa, Palermo","300.0","2","40.0","nan","1"
"15","Loft Poggio Ridente 116, Poggio Ridente, Palermo","800.0","nan","90.0","nan","1"
"16","Quadrilocale via Gabriele D'Annunzio 14, Libertà - Villabianca, Palermo","830.0","4","120.0","2","1"
"17","Monolocale via Selinunte 11, Malaspina, Palermo","300.0","nan","20.0","nan","1"
"18","Bilocale via antonio veneziano 18, Zisa, Palermo","41.0","2","50.0","nan","1"
"19","Appartamento largo Parini 18, Notarbartolo - Sciuti, Palermo","700.0","5+","160.0","2","1"
"20","Quadrilocale corso Pietro Pisani 294/B, Università, Palermo","800.0","4","110.0","2","1"
"21","Bilocale piazza Ottavio Ziino 1, Giotto Galilei - Palagonia, Palermo","500.0","2","63.0","nan","1"
"22","Trilocale via Carrettieri 77, Tribunale, Palermo","620.0","3","84.0","nan","1"
"23","Trilocale via dei Preti 4, Tribunale, Palermo","620.0","3","66.0","nan","1"
"24","Trilocale corso dei Mille 882, Settecannoli, Palermo","680.0","3","90.0","nan","1"
"25","Quadrilocale via Giovanni Campolo 49, Malaspina, Palermo","780.0","4","133.0","2","1"
"26","Appartamento via Malaspina 28, Malaspina, Palermo","620.0","5","137.0","2","4"
"27","Monolocale vicolo Agnetta 4, Tribunale, Palermo","450.0","nan","25.0","nan","4"
"28","Appartamento via serradifalco 119, Malaspina, Palermo","930.0","5","150.0","2","4"
"29","Appartamento via Antonino Salinas 68, Notarbartolo - Sciuti, Palermo","870.0","5+","170.0","2","4"
"30","Bilocale via Stefano Turr 1, Malaspina, Palermo","370.0","2","45.0","nan","4"
"31","Appartamento via Terrasanta 58, Notarbartolo - Sciuti, Palermo","870.0","5","155.0","2","4"
"32","Quadrilocale via Casa Professa 19, Cassaro, Palermo","1000.0","4","100.0","2","4"
"33","Quadrilocale corso Pietro Pisani 139, Calatafimi Bassa - Indipendenza, Palermo","580.0","4","110.0","2","4"
"34","Trilocale via Montegrappa 153, Montegrappa, Palermo","570.0","3","75.0","nan","4"
