"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Trilocale via Oreste Regnoli 6, Massarenti, Bologna","2100.0","3","75.0","2","3"
"2","Trilocale via Malta 13, Colli Saragozza, Bologna","1100.0","3","70.0","nan","3"
"3","Trilocale via dell'Indipendenza 41, Centro Storico, Bologna","1250.0","3","75.0","nan","3"
"4","Quadrilocale via San Pio V, Saffi, Bologna","1400.0","4","95.0","nan","3"
"5","Bilocale via del Borgo di San Pietro 94, Irnerio, Bologna","1100.0","2","45.0","nan","3"
"6","Trilocale via della Ca' Bianca, Noce - Pescarola, Bologna","1400.0","3","65.0","2","3"
"7","Bilocale via Jacopo di Paolo 33/2, Bolognina, Bologna","900.0","2","40.0","nan","3"
"8","Quadrilocale via Guerrazzi, Centro Storico, Bologna","1500.0","4","90.0","2","3"
"9","Bilocale via Mascarella, Irnerio, Bologna","850.0","2","50.0","nan","3"
"10","Monolocale via Collegio di Spagna, Saragozza dentro le Mura, Bologna","1000.0","nan","32.0","nan","3"
"11","Quadrilocale ottimo stato, secondo piano, Colli San Mamolo, Bologna","1300.0","4","89.0","2","3"
"12","Trilocale via Rizzoli, Centro Storico, Bologna","1000.0","3","70.0","nan","3"
"13","Appartamento via Galliera, Marconi, Bologna","3250.0","5+","300.0","3","3"
"14","Appartamento via dei Giardini 15, Corticella, Bologna","1700.0","5","100.0","2","3"
"15","Bilocale via Alessandro Algardi 31, Bolognina, Bologna","1100.0","2","44.0","nan","3"
"16","Quadrilocale via Alceste De Ambris 14, Barca, Bologna","1100.0","4","90.0","nan","3"
"17","Appartamento viale Carlo Pepoli, Saragozza dentro le Mura, Bologna","2500.0","5+","180.0","2","3"
"18","Bilocale via del Pratello 39, San Felice, Bologna","800.0","2","45.0","2","3"
"19","Bilocale via degli Usberti 2, Centro Storico, Bologna","999.0","2","55.0","nan","3"
"20","Appartamento viale Antonio Aldini 19, Saragozza dentro le Mura, Bologna","2500.0","5","135.0","2","3"
"21","Terratetto unifamiliare via Bocca di Lupo 9, Saragozza dentro le Mura, Bologna","1300.0","2","60.0","nan","3"
"22","Bilocale ottimo stato, piano terra, Santa Viola, Bologna","1000.0","2","62.0","nan","3"
"23","Trilocale via Milazzo, Marconi, Bologna","950.0","3","75.0","nan","3"
"24","Quadrilocale ottimo stato, piano rialzato, Barca, Bologna","1200.0","4","105.0","2","3"
"25","Quadrilocale via Giuseppe Mazzini 46, Massarenti, Bologna","1600.0","4","80.0","nan","3"
"26","Trilocale via Broccaindosso, Centro, Bologna","1850.0","3","83.0","2","2"
"27","Loft via Pietro Gamberini 6/4, Barca, Bologna","700.0","nan","40.0","nan","2"
"28","Bilocale via dello Sterlino, Colli Murri, Bologna","650.0","2","57.0","nan","2"
"29","Appartamento via Nosadella 55, Saragozza dentro le Mura, Bologna","5000.0","5+","350.0","3+","2"
"30","Trilocale via del Cestello 13, Castiglione - Tribunale, Bologna","1100.0","3","72.0","nan","2"
"31","Villa unifamiliare via di Casaglia 60, Colli Saragozza, Bologna","2000.0","4","120.0","2","2"
