"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Trilocale sansovino 189, Isolotto Talenti, Firenze","750.0","3","65.0","nan","2"
"2","Bilocale via dei Tavolini,1, Signoria - Uffizi, Firenze","1490.0","2","65.0","nan","2"
"3","Trilocale via D'ancona, Coverciano, Firenze","1050.0","3","70.0","nan","2"
"4","Trilocale via dell Oriuolo 15, Duomo, Firenze","1100.0","3","75.0","nan","2"
"5","Quadrilocale ottimo stato, primo piano, Santo Spirito, Firenze","2000.0","4","100.0","2","2"
"6","Trilocale via cairoli, 8, Campo di Marte, Firenze","1500.0","3","70.0","nan","2"
"7","Appartamento Scialoia 65, Mazzini - Oberdan, Firenze","1400.0","5+","100.0","2","2"
"8","Terratetto unifamiliare piazza Niccolò Tommaseo, Settignano, Firenze","4500.0","5+","250.0","3+","2"
"9","Quadrilocale via San Gallo 1, San Marco - SS Annunziata, Firenze","1500.0","4","110.0","2","2"
"10","Villa unifamiliare viale Galileo 12, Michelangelo - Poggio Imperiale, Firenze","2200.0","5+","370.0","3+","2"
"11","Appartamento piazza Ferrucci, San Niccolò, Firenze","3500.0","5+","180.0","2","2"
"12","Appartamento via del Pian dei Giullari, Cinque Vie, Firenze","3000.0","5","220.0","2","2"
"13","Quadrilocale via Enrico Petrella, Porta al Prato - San Jacopino, Firenze","1000.0","4","90.0","nan","2"
"14","Quadrilocale piazza dell'Indipendenza, San Marco - SS Annunziata, Firenze","2000.0","4","160.0","2","2"
"15","Quadrilocale piazza della Signoria, Signoria - Uffizi, Firenze","2500.0","4","120.0","2","2"
"16","Appartamento piazza del Duomo, Duomo, Firenze","5900.0","5+","370.0","2","2"
"17","Bilocale via Gianfrancesco Pagnini 32, Leopoldo - Vittorio Emanuele - Statuto, Firenze","920.0","2","51.0","nan","2"
"18","Bilocale via di capornia, Serpiolle, Firenze","800.0","2","50.0","nan","2"
"19","Mansarda 30 m² con terrazza, Novoli, Firenze","720.0","2","30.0","nan","2"
"20","Appartamento via Bernardo Rucellai, Borgo Ognissanti - Il Prato, Firenze","7000.0","5","268.0","3","2"
"21","Bilocale via Giuseppe Pescetti, Firenze Nova, Firenze","950.0","2","52.0","nan","2"
"22","Bilocale via Cassia, Porta al Prato - San Jacopino, Firenze","550.0","2","66.0","nan","2"
"23","Monolocale via dell'Isolotto, Argingrosso, Firenze","500.0","nan","40.0","nan","2"
"24","Bilocale via Pistoiese, Brozzi, Firenze","800.0","2","70.0","nan","2"
"25","Bilocale via della Grillaia 37, Marignolle - Bellosguardo, Firenze","800.0","2","60.0","nan","2"
"26","Bilocale ottimo stato, piano terra, Novoli, Firenze","750.0","2","55.0","nan","0"
"27","Monolocale via del Moro, Santa Maria Novella, Firenze","750.0","nan","25.0","nan","0"
"28","Trilocale viale Europa, Europa, Firenze","750.0","3","60.0","nan","0"
"29","Bilocale via Vincenzio Viviani, Michelangelo - Poggio Imperiale, Firenze","580.0","2","52.0","nan","0"
"30","Monolocale ottimo stato, primo piano, Coverciano, Firenze","900.0","nan","50.0","nan","0"
"31","Monolocale ottimo stato, primo piano, Signoria - Uffizi, Firenze","650.0","nan","25.0","nan","0"
"32","Monolocale piazza della Signoria, Signoria - Uffizi, Firenze","650.0","nan","30.0","nan","0"
"33","Bilocale piazza dei Nerli, San Frediano, Firenze","1800.0","2","60.0","nan","0"
"34","Trilocale piazza dei Pitti, Ponte Vecchio - Pitti, Firenze","2500.0","3","80.0","nan","0"
"35","Appartamento corso dei Tintori, Santa Croce, Firenze","3500.0","5+","223.0","3+","0"
"36","Attico piazza Francia, Europa, Firenze","1450.0","4","100.0","2","0"
"37","Trilocale piazza dei Nerli 8, San Frediano, Firenze","2750.0","3","90.0","2","0"
"38","Quadrilocale via Palazzuolo 99, Borgo Ognissanti - Il Prato, Firenze","1700.0","4","80.0","2","0"
"39","Villa unifamiliare piazza Niccolò Tommaseo, Settignano, Firenze","4500.0","5+","343.0","3+","0"
"40","Rustico via Di Careggi, Careggi - Rifredi - Dalmazia, Firenze","2590.0","5+","260.0","3","0"
"41","Quadrilocale piazza degli Antinori 8R, Piazza della Repubblica, Firenze","4500.0","4","110.0","2","0"
"42","Mansarda via Leonardo Ximenes 39, Due Strade - San Gaggio, Firenze","4000.0","5","210.0","2","0"
"43","Quadrilocale Lungarno Cristoforo Colombo 32, Alberti - Bellariva, Firenze","2200.0","4","100.0","2","0"
"44","Appartamento via della Chiesa 70, San Frediano, Firenze","2500.0","5+","142.0","3","0"
"45","Appartamento piazza del Carmine 6, San Frediano, Firenze","6000.0","5+","230.0","2","0"
"46","Quadrilocale via Filippo Parlatore, San Marcellino, Firenze","1300.0","4","96.0","nan","0"
"47","Quadrilocale piazza di San Lorenzo 1, Duomo, Firenze","3000.0","4","79.0","nan","0"
"48","Appartamento in villa via del Palmerino 11, Salviatino - San Domenico, Firenze","2300.0","5+","222.0","3","0"
"49","Quadrilocale via San Gallo, San Marco - SS Annunziata, Firenze","1500.0","4","80.0","2","0"
"50","Appartamento via della Scala, Fortezza - Stazione, Firenze","7000.0","5+","270.0","3+","0"
"51","Quadrilocale via Giuseppe Verdi, Sant'Ambrogio, Firenze","3000.0","4","130.0","2","2"
"52","Quadrilocale via Gaetano Milanesi 59, Leopoldo - Vittorio Emanuele - Statuto, Firenze","400.0","4","90.0","2","2"
"53","Bilocale via Fra' Giovanni Angelico, Beccaria - Colombo, Firenze","1500.0","2","55.0","nan","2"
"54","Trilocale via del Podestà, Galluzzo, Firenze","770.0","3","65.0","nan","2"
"55","Appartamento via Lambertesca, Signoria - Uffizi, Firenze","5000.0","5+","250.0","3+","2"
"56","Appartamento piazza del Carmine 6, San Frediano, Firenze","6000.0","5+","230.0","2","2"
"57","Attico via Masaccio 180, Mazzini - Oberdan, Firenze","2500.0","5+","165.0","3","2"
"58","Trilocale via Mugello, Novoli, Firenze","1200.0","3","70.0","nan","2"
"59","Appartamento via di Santa Margherita a Montici, Michelangelo - Poggio Imperiale, Firenze","3000.0","5","200.0","2","2"
"60","Bilocale via delle Terme 47, Piazza della Repubblica, Firenze","3750.0","2","105.0","nan","2"
"61","Appartamento via Bettino Ricasoli, Duomo, Firenze","3600.0","5+","130.0","3","2"
"62","Bilocale via Giuliano Ricci 19, Castello, Firenze","900.0","2","50.0","nan","2"
"63","Villa unifamiliare viale Europa 227, Europa, Firenze","1200.0","5+","1.16","3+","2"
"64","Appartamento via Lambertesca, Signoria - Uffizi, Firenze","5000.0","5+","350.0","3+","2"
"65","Quadrilocale via Giovanni Antonio Sogliani 1, Ponte alla Vittoria, Firenze","3000.0","4","180.0","3","2"
"66","Appartamento via Vecchia di Pozzolatico, Galluzzo, Firenze","1850.0","5","110.0","2","2"
"67","Appartamento Ponte Vecchio 25, Signoria - Uffizi, Firenze","3000.0","5","100.0","2","2"
"68","Trilocale via d'Ardiglione 17, San Frediano, Firenze","640.0","3","46.0","nan","2"
"69","Bilocale via Giotto 9, Beccaria - Colombo, Firenze","1500.0","2","55.0","nan","2"
"70","Appartamento via delle Campora 66B, Due Strade - San Gaggio, Firenze","2200.0","5+","140.0","2","2"
"71","Appartamento via Paolo Mascagni 2, Due Strade - San Gaggio, Firenze","3000.0","5+","180.0","3","2"
"72","Appartamento via del Filarete 24, Soffiano, Firenze","1300.0","5+","120.0","2","2"
"73","Quadrilocale piazza della Calza, Santo Spirito, Firenze","1800.0","4","90.0","nan","2"
"74","Terratetto unifamiliare piazza Desiderio da Settignano, Settignano, Firenze","4500.0","5+","280.0","3","2"
"75","Terratetto unifamiliare via il Prato, Borgo Ognissanti - Il Prato, Firenze","7000.0","5+","286.0","3+","2"
"76","Quadrilocale piazza degli Antinori 8R, Piazza della Repubblica, Firenze","4500.0","4","110.0","2","2"
"77","Appartamento via della Scala, Fortezza - Stazione, Firenze","7000.0","5+","250.0","3+","2"
"78","Quadrilocale via di Montughi, Bolognese, Firenze","1300.0","4","86.0","nan","2"
"79","Quadrilocale via Gino Capponi, San Marco - SS Annunziata, Firenze","1600.0","4","120.0","2","2"
"80","Bilocale via Fra' Giovanni Angelico, Beccaria - Colombo, Firenze","1500.0","2","50.0","nan","2"
"81","Quadrilocale via Alfonso La Marmora 26, San Marco - SS Annunziata, Firenze","1500.0","4","90.0","2","2"
"82","Quadrilocale via Gino Capponi, San Marco - SS Annunziata, Firenze","1750.0","4","120.0","2","2"
"83","Casa colonica via Bolognese Nuova, Bolognese, Firenze","nan","5+","500.0","3+","2"
"84","Trilocale via delle Campora, Porta Romana, Firenze","900.0","3","70.0","nan","2"
"85","Bilocale Borgo Ognissanti, Borgo Ognissanti - Il Prato, Firenze","700.0","2","40.0","nan","2"
"86","Appartamento via del Pian dei Giullari 117, Cinque Vie, Firenze","3300.0","5+","233.0","3+","2"
"87","Quadrilocale via Ricasoli, Duomo, Firenze","3700.0","4","140.0","3","2"
"88","Appartamento via della Torre del Gallo, Michelangelo - Poggio Imperiale, Firenze","2900.0","5","176.0","3","2"
"89","Quadrilocale via dei Bardi, San Niccolò, Firenze","4000.0","4","195.0","2","2"
"90","Trilocale via Virgilio Biagini, Galluzzo, Firenze","800.0","3","71.0","nan","2"
"91","Appartamento via Laura, San Marco - SS Annunziata, Firenze","1700.0","5","100.0","2","2"
"92","Trilocale via Virgilio Biagini, Galluzzo, Firenze","750.0","3","65.0","nan","2"
"93","Quadrilocale via Ottavio Rinuccini, Porta al Prato - San Jacopino, Firenze","1450.0","4","100.0","2","2"
"94","Appartamento via Girolamo Benivieni 8B, Libertà - Savonarola, Firenze","2400.0","5+","160.0","2","2"
"95","Appartamento via dei Servi, Duomo, Firenze","2900.0","5","165.0","2","2"
"96","Appartamento Borgo degli Albizi, Duomo, Firenze","1400.0","5+","239.0","3","2"
"97","Terratetto unifamiliare via della Torre del Gallo, Michelangelo - Poggio Imperiale, Firenze","1000.0","2","42.0","nan","2"
"98","Appartamento buono stato, primo piano, Fortini, Firenze","3200.0","5+","300.0","2","2"
"99","Bilocale via della Torre del Gallo, Michelangelo - Poggio Imperiale, Firenze","900.0","2","66.0","nan","2"
"100","Trilocale via degli Orti Oricellari, Borgo Ognissanti - Il Prato, Firenze","1300.0","3","65.0","2","2"
"101","Bilocale via Giuseppe Saverio Mercadante, Porta al Prato - San Jacopino, Firenze","950.0","2","47.0","nan","0"
