"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Quadrilocale Roberto da bari , 56, Murat, Bari","1400.0","4","138.0","2","2"
"2","Appartamento via Papa Innocenzo XII 42, Poggiofranco, Bari","1500.0","5","180.0","2","2"
"3","Quadrilocale corso Cavour 72, Murat, Bari","3000.0","4","115.0","nan","2"
"4","Bilocale via Monfalcone 63, Carrassi, Bari","650.0","2","49.0","nan","2"
"5","Villa plurifamiliare via Lorenzo d'Agostino 3, Mungivacca, Bari","1200.0","3","145.0","2","2"
"6","Quadrilocale via Michele Troisi, Japigia, Bari","800.0","4","120.0","2","2"
"7","Attico via Alessandro Maria Calefati, Murat, Bari","1800.0","5","130.0","2","2"
"8","Attico via De Rossi 114, Murat, Bari","650.0","2","70.0","nan","2"
"9","Trilocale Lungomare Ugo Lorusso 49/C, Palese, Bari","1000.0","3","60.0","nan","2"
"10","Quadrilocale via Salvatore Matarrese, Poggiofranco, Bari","1500.0","4","139.0","2","2"
"11","Bilocale viale concilio vaticano 160, Poggiofranco, Bari","800.0","2","71.0","nan","2"
"12","Attico via Argiro 7, Murat, Bari","1000.0","2","51.0","nan","2"
"13","Appartamento Tanzi , 2/B, Umbertina - Madonnella, Bari","950.0","5","113.0","nan","2"
"14","Quadrilocale corso Camillo Benso di Cavour 72, Murat, Bari","1500.0","4","140.0","2","2"
"15","Attico via Pappacena, Poggiofranco, Bari","1400.0","4","150.0","2","2"
"16","Attico Lungomare Giovan Battista e Pietro Starita 60, Marconi - San Cataldo, Bari","1500.0","4","136.0","2","2"
"17","Quadrilocale ottimo stato, quarto piano, San Pasquale, Bari","1200.0","4","173.0","2","2"
"18","Trilocale piazza Armando Diaz 5, Umbertina - Madonnella, Bari","950.0","3","105.0","nan","2"
"19","Bilocale via Tanzi 35, Umbertina - Madonnella, Bari","620.0","2","63.0","nan","2"
"20","Trilocale via Titolo, Santo Spirito, Bari","750.0","3","100.0","nan","2"
"21","Trilocale via Giuseppe Petraglione 11, Poggiofranco, Bari","720.0","3","110.0","nan","2"
"22","Quadrilocale via Scipione l'Africano 193, Picone, Bari","1400.0","4","120.0","2","2"
"23","Bilocale via Giovanni Pascoli 4, Carbonara di Bari, Bari","650.0","2","80.0","nan","2"
"24","Trilocale via Fratelli De Filippo 16, Carbonara di Bari, Bari","900.0","3","103.0","2","2"
"25","Bilocale via Giovanni Laterza 61, Carrassi, Bari","820.0","2","72.0","nan","2"
"26","Quadrilocale via Sparano da Bari, Murat, Bari","1600.0","4","135.0","2","6"
"27","Attico via Alessandro Maria Calefati 72, Murat, Bari","1350.0","3","154.0","2","6"
"28","Trilocale via Giovanni Amendola 168/5, Japigia, Bari","1000.0","3","90.0","nan","6"
"29","Bilocale cairoli , 54, Murat, Bari","850.0","2","60.0","nan","6"
"30","Quadrilocale via Abbrescia , 64, Umbertina - Madonnella, Bari","1500.0","4","115.0","2","6"
"31","Bilocale via delle Murge 108, Santa Caterina, Bari","1500.0","2","78.0","nan","6"
"32","Trilocale via Giuseppe Petraglione, Poggiofranco, Bari","900.0","3","106.0","2","6"
"33","Trilocale via Giuseppe Petraglione, Poggiofranco, Bari","900.0","3","106.0","2","6"
"34","Quadrilocale via Giulio Petroni, Poggiofranco, Bari","800.0","4","133.0","2","6"
"35","Appartamento via Monsignor Domenico Morea 9, Poggiofranco, Bari","1000.0","5","189.0","2","6"
"36","Appartamento Lungomare Giovan Battista e Pietro Starita 60, Marconi - San Cataldo, Bari","nan","5","158.0","3","6"
"37","Appartamento V.le Antonio Meucci 15, San Pasquale, Bari","990.0","5+","315.0","3","6"
"38","Trilocale via Giovanni Amendola 126, Japigia, Bari","900.0","3","74.0","nan","6"
"39","Quadrilocale via Carlo Alberto Dalla Chiesa 8, Carbonara di Bari, Bari","1000.0","4","130.0","2","6"
"40","Trilocale via Capitano Pasquale Lofoco 20, Japigia, Bari","700.0","3","93.0","2","6"
