"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale via Vincenzo Giuffrida 98, Province - Veneto, Catania","750.0","2","50.0","nan","1"
"2","Trilocale via Francesco Cilea 63, Libertà - Stazione, Catania","650.0","3","62.0","2","1"
"3","Trilocale via Ortigara, Rapisardi, Catania","800.0","3","65.0","nan","1"
"4","Bilocale via delle Acacie 3, Corso Italia - Europa, Catania","850.0","2","40.0","nan","1"
"5","Attico via San Michele, 4, Centro Storico, Catania","1500.0","3","138.0","3","1"
"6","Palazzo - Edificio via Guglielmo Oberdan 141, XX Settembre - Tribunale, Catania","1175.0","5+","1.78","3+","1"
"7","Bilocale via Siena, 18, Vulcania - Sanzio, Catania","950.0","2","75.0","nan","1"
"8","Terratetto unifamiliare via San Giovanni Battista 27, San Giovanni Galermo, Catania","500.0","3","90.0","nan","1"
"9","Appartamento corso Sicilia, Corso Sicilia - Fiera, Catania","1700.0","5","120.0","2","1"
"10","Villa a schiera via quintino cataudella, San Nullo - Sebastiano Catania, Catania","1500.0","5+","240.0","3","1"
"11","Appartamento via Trieste, Corso Italia - Europa, Catania","2200.0","5+","200.0","2","1"
"12","Bilocale via Eleonora D'angiò, Gioeni, Catania","600.0","2","55.0","nan","1"
"13","Appartamento via santa rosa da lima, San Nullo - Sebastiano Catania, Catania","700.0","5+","110.0","2","1"
"14","Monolocale via Luigi Capuana, Corso Sicilia - Fiera, Catania","450.0","nan","40.0","nan","1"
"15","Trilocale via Corvello 12, Province - Veneto, Catania","550.0","3","106.0","nan","1"
"16","Quadrilocale via Peschiera, Cittadella - Policlinico, Catania","750.0","4","110.0","2","1"
"17","Trilocale viale ruggero di lauria, Guardia - Li Cuti, Catania","900.0","3","90.0","nan","1"
"18","Attico via Sassari 1, Province - Veneto, Catania","750.0","5","148.0","2","1"
"19","Appartamento via Nicola Fabrizi, Borgo, Catania","1800.0","5+","270.0","3","1"
"20","Appartamento via Roberto Giuffrida Castorina 33, Vulcania - Sanzio, Catania","780.0","5","165.0","2","1"
"21","Trilocale viale della Libertà 203, Corso Italia - Europa, Catania","1500.0","3","103.0","nan","1"
"22","Palazzo - Edificio via Gisira 59, Centro Storico, Catania","5000.0","5+","728.0","3+","1"
"23","Appartamento corso Italia, Corso Italia - Europa, Catania","1500.0","5+","135.0","nan","1"
