"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Quadrilocale ottimo stato, terzo piano, Ponte Crencano, Verona","1250.0","4","120.0","2","3"
"2","Terratetto unifamiliare 200 m², buono stato, Cà di David, Verona","1600.0","5+","200.0","3","3"
"3","Quadrilocale ottimo stato, secondo piano, Valdonega, Verona","1000.0","4","110.0","nan","3"
"4","Bilocale via Tezone 1, Cittadella - Porta Nuova, Verona","1100.0","2","55.0","nan","3"
"5","Bilocale via Dietro Filippini 20, Centro Storico, Verona","850.0","2","50.0","nan","3"
"6","Trilocale via Carlo Cattaneo, Centro Storico, Verona","1500.0","3","140.0","2","3"
"7","Appartamento via Gian Battista Giberti, Valverde, Verona","1400.0","5","198.0","2","3"
"8","Appartamento stradone Porta Palio, Valverde, Verona","1400.0","5","177.0","2","3"
"9","Trilocale via Santa Felicita 2, Centro Storico, Verona","2200.0","3","100.0","2","3"
"10","Trilocale via Bezzecca, Borgo Trento, Verona","1000.0","3","87.0","nan","3"
"11","Quadrilocale 96 m², Borgo Venezia, Verona","960.0","4","96.0","nan","3"
"12","Trilocale piazza delle Erbe, Centro Storico, Verona","1500.0","3","95.0","nan","3"
"13","Quadrilocale via Carlo Donati, Valdonega, Verona","2200.0","4","140.0","2","3"
"14","Monolocale vicolo Ognissanti 9, San Zeno, Verona","530.0","nan","40.0","nan","3"
"15","Bilocale via Croce Bianca 31, San Massimo - Croce Bianca, Verona","870.0","2","70.0","nan","3"
"16","Bilocale Lungadige Cangrande, Borgo Trento, Verona","800.0","2","50.0","nan","3"
"17","Trilocale piazza Martiri della Libertà 2, Veronetta, Verona","1000.0","3","75.0","nan","3"
"18","Trilocale vicolo Cere, San Zeno, Verona","1400.0","3","100.0","nan","3"
"19","Monolocale Vicoletto Cieco Colomba 4, Centro Storico, Verona","800.0","nan","50.0","nan","3"
"20","Appartamento Lungadige Cangrande 1, Borgo Trento, Verona","3000.0","5+","230.0","3","3"
"21","Quadrilocale via Abramo Massalongo, Centro Storico, Verona","1950.0","4","130.0","2","3"
"22","Quadrilocale vicolo Circolo 4, Valverde, Verona","900.0","4","90.0","nan","3"
"23","Bilocale vicolo San Bernardino 2, San Zeno, Verona","850.0","2","69.0","nan","3"
"24","Quadrilocale via 24 Maggio 37, Borgo Trento, Verona","1150.0","4","120.0","2","3"
"25","Appartamento via Anfiteatro, 16, Centro Storico, Verona","2500.0","5","120.0","2","3"
"26","Trilocale piazzale Olimpia, Stadio, Verona","800.0","3","127.0","nan","4"
"27","Trilocale via Giuseppe Garibaldi, Centro Storico, Verona","1400.0","3","130.0","2","4"
"28","Bilocale via Trento 22, Ponte Crencano, Verona","700.0","2","50.0","nan","4"
"29","Appartamento via Astico 1, Ponte Crencano, Verona","950.0","5","120.0","2","4"
"30","Bilocale via QUATTRO STAGIONI, Borgo Venezia, Verona","700.0","2","57.0","nan","4"
"31","Trilocale via SORGENTE LORI' 1, Avesa, Verona","900.0","3","60.0","nan","4"
"32","Mansarda via Trieste 60, Borgo Roma, Verona","690.0","3","80.0","nan","4"
"33","Attico vicolo Cieco Bacco 1, Veronetta, Verona","1150.0","3","92.0","nan","4"
"34","Bilocale vicolo Stella 11, Centro Storico, Verona","1100.0","2","65.0","nan","4"
"35","Quadrilocale via Arno 5, Santa Lucia - Golosine, Verona","700.0","4","82.0","nan","4"
"36","Appartamento salita Santo Sepolcro 4, Veronetta, Verona","1200.0","5","122.0","2","4"
"37","Quadrilocale via Trento 5, Ponte Crencano, Verona","1200.0","4","132.0","2","4"
"38","Quadrilocale via Santa Felicita 2, Centro Storico, Verona","3000.0","4","130.0","2","4"
"39","Terratetto unifamiliare via tagliamento 21, Quinzano, Verona","1300.0","5","113.0","2","4"
"40","Trilocale corso Venezia 7, Borgo Venezia, Verona","900.0","3","65.0","nan","4"
"41","Trilocale piazza piazza Martiri della libertà, Veronetta, Verona","900.0","3","90.0","nan","4"
"42","Trilocale via Giuseppe Garibaldi, Centro Storico, Verona","1200.0","3","85.0","nan","4"
"43","Trilocale via San Nazaro 60, Veronetta, Verona","850.0","3","60.0","2","4"
"44","Bilocale via 20 Settembre 26, Veronetta, Verona","550.0","2","50.0","nan","4"
"45","Bilocale via dei Mutilati, Valverde, Verona","750.0","2","55.0","nan","4"
"46","Terratetto unifamiliare via MONTE ORTIGARA, Pindemonte, Verona","1350.0","5","150.0","2","4"
"47","Trilocale Alto San Nazaro, Veronetta, Verona","1400.0","3","80.0","2","4"
"48","Quadrilocale via 24 maggio 20, Borgo Trento, Verona","1300.0","4","125.0","2","4"
