"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Appartamento piano terra, Favaro Veneto, Venezia","1300.0","5+","120.0","nan","0"
"2","Trilocale via Forte Marghera 153, Mestre, Venezia","1750.0","3","75.0","2","0"
"3","Appartamento Campo Santa Giustina, San Francesco della Vigna, Venezia","1500.0","5","60.0","nan","0"
"4","Appartamento viale Vittorio Veneto, Sant'Elena, Venezia","1500.0","5","125.0","nan","0"
"5","Appartamento Campo San Moisè, San Marco, Venezia","1550.0","5","140.0","2","0"
"6","Appartamento Campo de la Carità, Accademia - Salute, Venezia","6500.0","5+","285.0","3+","0"
"7","Appartamento Campo Ognissanti 1439/A, Dorso Duro - San Barnaba, Venezia","4000.0","5","184.0","3","0"
"8","Appartamento Campo Santa Maria Formosa 6123, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","3500.0","5+","160.0","3","0"
"9","Quadrilocale Campo San Tomà, San Polo, Venezia","3000.0","4","150.0","2","0"
"10","Appartamento Campo Santa Maria del Giglio, San Marco, Venezia","4500.0","5+","200.0","3","0"
"11","Quadrilocale Calle dei Fabbri, San Marco, Venezia","1800.0","4","70.0","nan","0"
"12","Appartamento Campo de la Guerra, San Marco, Venezia","2200.0","5","180.0","2","0"
"13","Appartamento Campo Santa Maria Formosa, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","2200.0","5","140.0","2","0"
"14","Appartamento Campo dei Carmini, Dorso Duro - San Barnaba, Venezia","2000.0","5","85.0","nan","0"
"15","Appartamento San Marco 5165, San Marco, Venezia","3500.0","5+","189.0","2","0"
"16","Trilocale via Mestrina , 5, Mestre, Venezia","750.0","3","90.0","nan","0"
"17","Appartamento Piscina San Samuele, San Marco, Venezia","2600.0","5","120.0","2","0"
"18","Bilocale Piscina San Samuele, San Marco, Venezia","900.0","2","35.0","nan","0"
"19","Trilocale Calle Longa Santa Caterina, Santi Apostoli - San Canciano, Venezia","1700.0","3","80.0","nan","0"
"20","Trilocale Calle Malipiero, San Marco, Venezia","1300.0","3","40.0","nan","0"
"21","Mansarda Calle del Forner, Santa Croce, Venezia","2300.0","4","200.0","2","0"
"22","Bilocale viale San Marco 66/P, Mestre, Venezia","1000.0","2","70.0","nan","0"
"23","Quadrilocale Sant'Angelo, San Marco, Venezia","2500.0","4","80.0","2","0"
"24","Attico via Circonvallazione, Mestre, Venezia","1200.0","4","109.0","2","0"
"25","Appartamento buono stato, piano rialzato, Lido di Venezia, Venezia","2000.0","5","140.0","2","0"
"26","Trilocale via Vallon 10/c, Carpenedo - Bissuola, Venezia","950.0","3","90.0","nan","4"
"27","Bilocale Calle dei Boteri 1689, San Polo, Venezia","900.0","2","40.0","nan","4"
"28","Appartamento via Giovanni Felisati 167, Mestre, Venezia","550.0","nan","50.0","nan","4"
"29","Quadrilocale Campo San Giacomo da l'Orio, Santa Croce, Venezia","1600.0","4","90.0","2","4"
"30","Trilocale Campo Junghans, Redentore - Palanca, Venezia","1400.0","3","80.0","nan","4"
"31","Quadrilocale via Fra' Mauro 6, Lido di Venezia, Venezia","1600.0","4","110.0","2","4"
"32","Appartamento Cà Rezzonico, Dorso Duro - San Barnaba, Venezia","2500.0","5","160.0","2","4"
"33","Quadrilocale ottimo stato, secondo piano, San Marco, Venezia","2200.0","4","100.0","2","4"
"34","Quadrilocale buono stato, secondo piano, Santi Apostoli - San Canciano, Venezia","1400.0","4","75.0","2","4"
"35","Quadrilocale Calle del Magazen 3125/A, Guglie, San Leonardo, Santi Apostoli, San Canciano, Venezia","2100.0","4","100.0","2","4"
"36","Quadrilocale Calle Bosello 3746, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","1300.0","4","120.0","nan","4"
"37","Appartamento Campo de la Carità, Accademia - Salute, Venezia","4200.0","5","135.0","2","4"
"38","Appartamento Santa Croce, Santa Croce, Venezia","2000.0","5","120.0","2","4"
"39","Appartamento Calle de la Regina, San Polo, Venezia","2000.0","5","120.0","2","4"
"40","Quadrilocale via Emo 32, Carpenedo - Bissuola, Venezia","750.0","4","82.0","nan","4"
"41","Terratetto plurifamiliare via Gatta 9, Favorita, Venezia","1800.0","3","85.0","2","4"
"42","Albergo piazza San Marco, San Marco, Venezia","1000.0","5+","500.0","3+","4"
"43","Trilocale Calle Longa De l'Accademia dei Nobili, Redentore - Palanca, Venezia","900.0","3","66.0","nan","4"
"44","Appartamento Calle de la Regina, San Polo, Venezia","2200.0","5+","120.0","2","4"
"45","Appartamento Trivignano, Trivignano - Gatta, Venezia","750.0","5","115.0","nan","4"
"46","Bilocale ottimo stato, primo piano, Malamocco, Venezia","900.0","2","62.0","nan","4"
"47","Quadrilocale Calle dei Nicoli 1020, Arsenale - Giardini della Biennale, Venezia","1100.0","4","80.0","nan","4"
"48","Trilocale Calle Prima de la Donzela, Rialto, Venezia","1200.0","3","60.0","nan","4"
"49","Quadrilocale Calle Gritti 2494, San Marco, Venezia","1500.0","4","120.0","2","4"
"50","Trilocale Campo Santa Maria Mater Domini, San Polo, Venezia","1050.0","3","60.0","nan","4"
"51","Quadrilocale Campo Santo Stefano, San Marco, Venezia","1400.0","4","90.0","2","1"
"52","Bilocale Ghetto Vechio, Guglie - San Leonardo, Venezia","800.0","2","45.0","nan","1"
"53","Trilocale Sotoportego de Ghetto, Guglie - San Leonardo, Venezia","850.0","3","50.0","nan","1"
"54","Quadrilocale ottimo stato, primo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","2800.0","4","150.0","2","1"
"55","Quadrilocale Campo San Geremia, Guglie - San Leonardo, Venezia","1300.0","4","130.0","2","1"
"56","Appartamento ottimo stato, secondo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","3000.0","5+","225.0","3","1"
"57","Trilocale via Marco Polo 5, Lido di Venezia, Venezia","1000.0","3","78.0","nan","1"
"58","Quadrilocale Ponte de l'Accademia, Accademia - Salute, Venezia","2200.0","4","100.0","2","1"
"59","Appartamento ottimo stato, primo piano, Favaro Veneto, Venezia","1000.0","5","120.0","2","1"
"60","Monolocale Paludo San Antonio,884, Arsenale - Giardini della Biennale, Venezia","1200.0","nan","30.0","nan","1"
"61","Bilocale Calle Seconda de la Fava,5619, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","4500.0","2","50.0","nan","1"
"62","Trilocale Riva De Biasio, Santa Croce, Venezia","1500.0","3","80.0","nan","1"
"63","Bilocale ottimo stato, secondo piano, Santa Croce, Venezia","1400.0","2","60.0","nan","1"
"64","Quadrilocale buono stato, secondo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia","1800.0","4","110.0","nan","1"
"65","Quadrilocale Calle de la Ca' d'Oro, Santi Apostoli - San Canciano, Venezia","1300.0","4","75.0","nan","1"
"66","Bilocale ottimo stato, secondo piano, San Marco, Venezia","1500.0","2","45.0","nan","1"
"67","Trilocale via Monte Nevoso 15/a, Carpenedo - Bissuola, Venezia","1150.0","3","117.0","2","1"
"68","Trilocale Campo Santo Stefano, San Marco, Venezia","1300.0","3","80.0","2","1"
