"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Attico via Ugo Bassi 66, San Martino, Messina","500.0","nan","26.0","nan","4"
"2","Trilocale via Elisabetta Conci 2, Ganzirri, Messina","2500.0","3","120.0","nan","4"
"3","Trilocale via Nilde Lotti 6 6, Ganzirri, Messina","200.0","3","130.0","nan","4"
"4","Monolocale via Archimede 99, Faro Superiore - Sperone, Messina","300.0","nan","36.0","nan","4"
"5","Trilocale via Marina Ganzirri 12, Ganzirri, Messina","580.0","3","45.0","nan","4"
"6","Trilocale via Nilde Lotti 6 6, Ganzirri, Messina","2000.0","3","130.0","nan","4"
"7","Attico via Nino Bixio, 7, La Farina - Stazione, Messina","850.0","3","70.0","nan","4"
"8","Trilocale via dei Mille 271, San Martino, Messina","600.0","3","95.0","nan","4"
"9","Villa unifamiliare SS 113 Timpazzi 14600, Mortelle - Casa Bianca, Messina","3000.0","4","204.0","2","4"
"10","Appartamento via Sant'Agostino 4, Centro Storico, Messina","3500.0","5+","343.0","2","4"
"11","Trilocale via Oratorio San Francesco, Centro Storico, Messina","1200.0","3","128.0","2","4"
"12","Bilocale via Cernaia 3, Battisti - Avignone, Messina","550.0","2","35.0","nan","4"
"13","Trilocale via Cernaia 3, Battisti - Avignone, Messina","750.0","3","90.0","nan","4"
"14","Quadrilocale via dei Mille 277, San Martino, Messina","700.0","4","160.0","nan","4"
"15","Appartamento salita Villa Contino, Villaggio Santo, Messina","650.0","5","135.0","2","4"
"16","Villa bifamiliare SS113dir, Ortoliuzzo - San Saba, Messina","6800.0","5+","280.0","3+","4"
"17","Trilocale salita Montesanto Contrada Petrazza 22, Camaro Inferiore, Messina","500.0","3","90.0","nan","4"
"18","Trilocale via Antonello Freri 30, Provinciale, Messina","250.0","3","90.0","nan","4"
"19","Appartamento da ristrutturare, piano terra, Briga - Ponte Schiavo, Messina","2000.0","5","260.0","3+","4"
