"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Appartamento ottimo stato, secondo piano, Prato della Valle - Pontecorvo, Padova","3200.0","5+","400.0","3+","2"
"2","Appartamento ottimo stato, primo piano, Santo, Padova","2500.0","5+","255.0","3","2"
"3","Quadrilocale via Pier Paolo Vergerio 27, Santa Rita, Padova","870.0","4","93.0","2","2"
"4","Bilocale via Falloppio, Portello - Ospedali, Padova","800.0","2","45.0","nan","2"
"5","Monolocale via Portello, Portello - Ospedali, Padova","700.0","nan","30.0","nan","2"
"6","Monolocale via Del Portello, Portello - Ospedali, Padova","700.0","nan","30.0","nan","2"
"7","Mansarda via San Clemente, Piazze - Duomo, Padova","1000.0","3","45.0","2","2"
"8","Attico via Cristoforo Colombo, Città Giardino, Padova","1500.0","4","185.0","2","2"
"9","Bilocale via Madonnetta, Piazze - Duomo, Padova","900.0","2","60.0","nan","2"
"10","Trilocale via Altichiero, Altichiero, Padova","1100.0","3","90.0","2","2"
"11","Quadrilocale via San Francesco, Santa Sofia - Altinate, Padova","1300.0","4","110.0","2","2"
"12","Bilocale via nino bixio, Stazione, Padova","700.0","2","44.0","nan","2"
"13","Trilocale via riviera paleocapa, Specola, Padova","1250.0","3","85.0","nan","2"
"14","Bilocale Riviera Paleocopa, Piazze - Duomo, Padova","1250.0","2","60.0","nan","2"
"15","Quadrilocale via Emilio Lovarini, Santa Rita, Padova","1200.0","4","159.0","2","2"
"16","Bilocale via San Fermo, Piazze - Duomo, Padova","750.0","2","30.0","nan","2"
"17","Bilocale via San Prosdocimo, 18, Riviere, Padova","2400.0","2","55.0","nan","2"
"18","Trilocale via Ravenna, Sacra Famiglia - Basso Isonzo, Padova","1000.0","3","123.0","2","2"
"19","Loft via Donatello, Prato della Valle - Pontecorvo, Padova","2200.0","2","114.0","2","2"
"20","Monolocale Corte San Clemente 1, Piazze - Duomo, Padova","1200.0","nan","20.0","nan","2"
"21","Monolocale Corte San Clemente 1, Piazze - Duomo, Padova","1200.0","nan","20.0","nan","2"
"22","Bilocale Corte San Clemente 8, Piazze - Duomo, Padova","1600.0","2","88.0","nan","2"
"23","Quadrilocale piazzale della Stazione, Stazione, Padova","1200.0","4","200.0","2","2"
"24","Bilocale via San Fermo, Savonarola - Ponte Molino, Padova","1000.0","2","46.0","nan","2"
"25","Monolocale via Erasmo Gattamelata 11, Portello - Ospedali, Padova","1150.0","nan","35.0","nan","2"
"26","Appartamento via Paltana, Paltana - Mandria, Padova","1200.0","5","125.0","2","2"
"27","Monolocale via Erasmo Gattamelata 11, Portello - Ospedali, Padova","1150.0","nan","28.0","nan","2"
"28","Bilocale via Madonnetta, Piazze - Duomo, Padova","1400.0","2","77.0","nan","2"
"29","Bilocale via Monte Solarolo 2, San Giuseppe - San Giovanni, Padova","1400.0","2","42.0","nan","2"
"30","Bilocale via Monte Solarolo 2, San Giuseppe - San Giovanni, Padova","1350.0","2","31.0","nan","2"
"31","Trilocale via Rudena, Santo, Padova","1000.0","3","88.0","nan","2"
"32","Trilocale via San Clemente, Piazze - Duomo, Padova","1400.0","3","113.0","2","2"
"33","Bilocale Corte San Clemente 1, Piazze - Duomo, Padova","1350.0","2","40.0","nan","2"
"34","Bilocale via Altinate, Santa Sofia - Altinate, Padova","1050.0","2","60.0","nan","2"
"35","Trilocale vicolo del Portello, Portello - Ospedali, Padova","1520.0","3","90.0","nan","2"
"36","Monolocale via San Pietro, Savonarola - Ponte Molino, Padova","900.0","nan","30.0","nan","2"
"37","Trilocale vicolo Giuseppe Mazzini, Piazza Mazzini - Ospedale Militare, Padova","900.0","3","82.0","nan","2"
"38","Quadrilocale via Santa Lucia, Piazze - Duomo, Padova","1200.0","4","95.0","nan","2"
"39","Bilocale via Zabarella, Santa Sofia - Altinate, Padova","1100.0","2","100.0","nan","2"
"40","Appartamento corso Milano, Piazze - Duomo, Padova","1660.0","5","250.0","2","2"
"41","Quadrilocale via Patriarcato, Piazze - Duomo, Padova","1100.0","4","90.0","nan","2"
"42","Terratetto plurifamiliare via Malcesine, Paltana - Mandria, Padova","1100.0","5+","147.0","2","2"
"43","Quadrilocale piazzale Mazzini, Piazza Mazzini - Ospedale Militare, Padova","1500.0","4","120.0","nan","2"
"44","Trilocale via Elisabetta Vendramini, Piazze - Duomo, Padova","1200.0","3","108.0","nan","2"
"45","Trilocale largo europa, Savonarola - Ponte Molino, Padova","1200.0","3","80.0","2","2"
"46","Trilocale largo Europa, Savonarola - Ponte Molino, Padova","950.0","3","90.0","nan","2"
"47","Bilocale piazzetta Sartori, Piazze - Duomo, Padova","1000.0","2","100.0","nan","2"
"48","Attico ottimo stato, 103 m², Piazze - Duomo, Padova","1200.0","2","103.0","nan","2"
"49","Quadrilocale corso milano, Savonarola - Ponte Molino, Padova","1800.0","4","nan","2","2"
"50","Villa unifamiliare via Pilade Bronzetti, Savonarola - Ponte Molino, Padova","1300.0","3","88.0","2","2"
