"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Trilocale via di Mercato Vecchio 1, Città Vecchia, Trieste","1600.0","3","90.0","2","6"
"2","Bilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","2","42.0","nan","6"
"3","Monolocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","nan","28.0","nan","6"
"4","Quadrilocale via di Torre Bianca 14, Borgo Teresiano, Trieste","1100.0","4","110.0","nan","6"
"5","Mansarda via Felice Venezian 7, Città Vecchia, Trieste","1300.0","2","65.0","nan","6"
"6","Trilocale via Armando Diaz 21, Città Vecchia, Trieste","2900.0","3","84.0","nan","6"
"7","Appartamento via della Geppa 4, Borgo Teresiano, Trieste","2500.0","5+","228.0","2","6"
"8","Trilocale via Francesco Cappello 11, San Vito - Campi Elisi, Trieste","850.0","3","74.0","nan","6"
"9","Trilocale via dell'Agro 6/1, Settefontane, Trieste","650.0","3","85.0","nan","6"
"10","Bilocale via Roma 23, Borgo Teresiano, Trieste","700.0","2","55.0","nan","6"
"11","Quadrilocale via Belpoggio 26, San Vito - Campi Elisi, Trieste","1350.0","4","170.0","2","6"
"12","Trilocale via Pietro Kandler 9, Cologna - Università, Trieste","1100.0","3","124.0","nan","6"
"13","Trilocale via di Cologna 57/1, Cologna - Università, Trieste","650.0","3","85.0","nan","6"
"14","Trilocale via Panfilo Castaldi 5, San Giacomo, Trieste","800.0","3","100.0","nan","6"
"15","Trilocale via Catullo 8, Scorcola, Trieste","650.0","3","73.0","nan","6"
"16","Quadrilocale via del Ghirlandaio 13, Settefontane, Trieste","800.0","4","125.0","2","6"
"17","Bilocale vicolo del Castagneto 47, Cologna - Università, Trieste","380.0","2","50.0","2","6"
"18","Trilocale via delle Milizie 1, San Luigi - Rozzol, Trieste","580.0","3","80.0","nan","6"
"19","Bilocale via Felice Venezian 5, Città Vecchia, Trieste","1130.0","2","110.0","2","6"
"20","Bilocale via Gian Rinaldo Carli 22, San Vito - Campi Elisi, Trieste","720.0","2","60.0","nan","6"
"21","Bilocale via Del Lloyd 3, San Vito - Campi Elisi, Trieste","490.0","2","50.0","nan","6"
"22","Trilocale via Riva Nazario Sauro, Città Vecchia, Trieste","1600.0","3","120.0","2","6"
"23","Monolocale via Giacomo Ciamician 9, Città Vecchia, Trieste","650.0","nan","76.0","nan","6"
"24","Trilocale via Valdirivo 14, Borgo Teresiano, Trieste","720.0","3","75.0","nan","6"
"25","Trilocale via Artemidoro, Scorcola, Trieste","2150.0","3","130.0","2","6"
"26","Bilocale via Bartolomeo Biasoletto, San Luigi - Rozzol, Trieste","620.0","2","70.0","2","1"
"27","Bilocale via Gregorio Ananian 2, Settefontane, Trieste","490.0","2","56.0","nan","1"
"28","Attico via Tigor 23/6, San Vito - Campi Elisi, Trieste","750.0","3","82.0","nan","1"
"29","Bilocale via Dudovich 1, San Giovanni, Trieste","550.0","2","65.0","nan","1"
"30","Bilocale ottimo stato, quinto piano, San Giacomo, Trieste","450.0","2","25.0","nan","1"
"31","Bilocale viale D'Annunzio 51, Settefontane, Trieste","550.0","2","55.0","nan","1"
"32","Attico via Armando Diaz 26, Città Vecchia, Trieste","1200.0","2","60.0","nan","1"
"33","Trilocale viaForlanini 63, San Luigi - Rozzol, Trieste","750.0","3","75.0","nan","1"
"34","Bilocale via Giacomo Puccini 76, Sant'Anna, Trieste","570.0","2","52.0","nan","1"
"35","Bilocale via delle Mura 24, Città Vecchia, Trieste","900.0","2","61.0","nan","1"
"36","Bilocale via San Sebastiano 4, Città Vecchia, Trieste","750.0","2","70.0","nan","1"
"37","Quadrilocale piazza del Sansovino 2/1, Largo Barriera - Ospedale Maggiore, Trieste","900.0","4","119.0","2","1"
"38","Bilocale via Bartolomeo Biasoletto, San Luigi - Rozzol, Trieste","570.0","2","70.0","nan","1"
"39","Trilocale via Francesco Rismondo 4, Giardino Pubblico, Trieste","670.0","3","86.0","nan","1"
"40","Trilocale via del Bergamino 24, San Luigi - Rozzol, Trieste","650.0","3","105.0","2","1"
"41","Bilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","2","60.0","2","1"
"42","Quadrilocale via Petronio 2, Settefontane, Trieste","1300.0","4","110.0","2","1"
"43","Bilocale via Canova 18, San Luigi - Rozzol, Trieste","500.0","2","50.0","nan","1"
"44","Bilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","2","41.0","nan","1"
"45","Bilocale via San Marco 57, San Giacomo, Trieste","550.0","2","65.0","nan","1"
"46","Bilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","2","36.0","nan","1"
"47","Trilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","3","68.0","2","1"
"48","Appartamento via San Lazzaro 20, Borgo Teresiano, Trieste","1500.0","5+","200.0","2","1"
"49","Quadrilocale via Bartolomeo Biasoletto, San Luigi - Rozzol, Trieste","950.0","4","130.0","2","1"
"50","Trilocale via Aleardo Aleardi 7, Scorcola, Trieste","800.0","3","110.0","2","1"
"51","Trilocale ottimo stato, quarto piano, Settefontane, Trieste","800.0","3","80.0","nan","4"
"52","Bilocale via Ponziana 2, Chiarbola - Ponziana, Trieste","618.0","2","69.0","nan","4"
"53","Trilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","3","57.0","2","4"
"54","Bilocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","2","60.0","2","4"
"55","Trilocale via Di Vittorio Giuseppe 2/2, Sant'Anna, Trieste","1200.0","3","115.0","2","4"
"56","Trilocale via Petronio 2, Settefontane, Trieste","1000.0","3","60.0","nan","4"
"57","Bilocale via Giulia, Cologna - Università, Trieste","620.0","2","75.0","nan","4"
"58","Bilocale via Petronio 9, Settefontane, Trieste","460.0","2","65.0","nan","4"
"59","Quadrilocale viale Miramare 17, Roiano, Trieste","850.0","4","140.0","nan","4"
"60","Bilocale via Fabio Severo, Cologna - Università, Trieste","515.0","2","40.0","nan","4"
"61","Palazzo - Edificio via San Lazzaro 6, Borgo Teresiano, Trieste","5500.0","5+","320.0","3","4"
"62","Quadrilocale piazza della Borsa, Borgo Teresiano, Trieste","2300.0","4","150.0","3","4"
"63","Bilocale via di Torre Bianca 13, Borgo Teresiano, Trieste","900.0","2","90.0","nan","4"
"64","Quadrilocale via Virgilio 28, Scorcola, Trieste","1350.0","4","155.0","2","4"
"65","Attico via Fabio Severo 48, Cologna - Università, Trieste","800.0","3","60.0","nan","4"
"66","Monolocale Baseggio 71, Gretta, Trieste","500.0","nan","50.0","nan","4"
"67","Bilocale via Conti 2, Largo Barriera - Ospedale Maggiore, Trieste","600.0","2","55.0","nan","4"
"68","Trilocale salita di Gretta, Gretta, Trieste","800.0","3","92.0","2","4"
"69","Appartamento buono stato, terzo piano, Città Vecchia, Trieste","1800.0","5+","224.0","3","4"
"70","Monolocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","nan","26.0","nan","4"
"71","Monolocale via Giuseppe Mazzini 32, Borgo Teresiano, Trieste","nan","nan","35.0","nan","4"
"72","Villa a schiera 2 locali, ottimo stato, Basovizza - Trebiciano, Trieste","850.0","2","54.0","nan","4"
"73","Bilocale ottimo stato, terzo piano, Borgo Teresiano, Trieste","1300.0","2","63.0","nan","4"
"74","Trilocale via Giulia 10, Giardino Pubblico, Trieste","630.0","3","70.0","nan","4"
"75","Bilocale via Manzoni 26, Largo Barriera - Ospedale Maggiore, Trieste","450.0","2","45.0","nan","4"
"76","Bilocale via della Guardia, San Giacomo, Trieste","800.0","2","52.0","nan","4"
"77","Bilocale ottimo stato, piano terra, Scorcola, Trieste","750.0","2","61.0","nan","4"
"78","Trilocale via Gioachino Murat 12, San Vito - Campi Elisi, Trieste","1150.0","3","130.0","2","4"
"79","Trilocale via dei Moreri 21, Gretta, Trieste","650.0","3","80.0","nan","4"
"80","Appartamento via Rossetti 49, Largo Barriera - Ospedale Maggiore, Trieste","1500.0","5","120.0","2","4"
"81","Trilocale piazza Giambattista Vico 4, Città Vecchia, Trieste","950.0","3","82.0","nan","4"
"82","Bilocale largo Mioni 5, San Giacomo, Trieste","700.0","2","77.0","nan","4"
"83","Bilocale via xxx Ottobre 14, Borgo Teresiano, Trieste","900.0","2","80.0","2","4"
"84","Quadrilocale via Raffaele Zovenzoni 1, Giardino Pubblico, Trieste","1300.0","4","160.0","2","4"
"85","Bilocale via Xxx Ottobre 7, Borgo Teresiano, Trieste","800.0","2","85.0","nan","4"
"86","Quadrilocale via Vittorio Alfieri 15, Largo Barriera - Ospedale Maggiore, Trieste","900.0","4","91.0","nan","4"
"87","Mansarda via Gaspare Gozzi 4, Roiano, Trieste","nan","nan","35.0","nan","4"
"88","Mansarda piazza San Giovanni 2, Borgo Teresiano, Trieste","650.0","2","45.0","nan","4"
"89","Villa unifamiliare Strada Costiera, Costiera - Grignano, Trieste","3000.0","4","150.0","3","4"
"90","Bilocale via dei Porta 1, Largo Barriera - Ospedale Maggiore, Trieste","600.0","2","60.0","nan","4"
"91","Trilocale via del Biancospino 24, Opicina, Trieste","850.0","3","81.0","nan","4"
"92","Monolocale via Capitolina, Città Vecchia, Trieste","430.0","nan","40.0","nan","4"
"93","Bilocale via Rismondo 3, Borgo Teresiano, Trieste","700.0","2","65.0","nan","4"
"94","Monolocale via Mazzini 46, Borgo Teresiano, Trieste","480.0","nan","35.0","nan","4"
"95","Bilocale via Romagna 30, Scorcola, Trieste","950.0","2","80.0","nan","4"
"96","Appartamento via Settefontane 2, Settefontane, Trieste","600.0","5","100.0","nan","4"
"97","Bilocale buono stato, quinto piano, Borgo Teresiano, Trieste","850.0","2","78.0","nan","4"
"98","Bilocale via Valmaura, Baiamonti - Valmaura, Trieste","490.0","2","60.0","nan","4"
"99","Bilocale via Giuseppe Bernardino Bison, Barcola, Trieste","950.0","2","56.0","nan","4"
"100","Trilocale via Tommaso Luciani, Settefontane, Trieste","640.0","3","65.0","nan","4"
"101","Trilocale via del Pane Bianco, Baiamonti - Valmaura, Trieste","850.0","3","80.0","2","1"
"102","Quadrilocale via San Francesco d'Assisi, Borgo Teresiano, Trieste","600.0","4","130.0","2","1"
