"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale via Edward Jenner, Ospedale - Volturno, Parma","550.0","2","55.0","nan","2"
"2","Bilocale via Francesco Leporati, Ospedale - Volturno, Parma","550.0","2","70.0","nan","2"
"3","Bilocale via Dalmazia, Centro Storico, Parma","500.0","2","50.0","nan","2"
"4","Trilocale Borgo 20 Marzo, Centro Storico, Parma","1000.0","3","100.0","nan","2"
"5","Trilocale via Albert Einstein, San Lazzaro, Parma","1000.0","3","95.0","nan","2"
"6","Bilocale viale Arturo Toscanini, Centro Storico, Parma","500.0","2","50.0","nan","2"
"7","Trilocale piazza Caduti del Lavoro, Ospedale - Volturno, Parma","250.0","3","120.0","nan","2"
"8","Quadrilocale Strada Felice Cavallotti, Centro Storico, Parma","2500.0","4","263.0","3","2"
"9","Bilocale Strada Naviglio Alto, Paradigna - Centro Torri, Parma","649.0","2","65.0","nan","2"
"10","Monolocale via Toscana, San Lazzaro, Parma","400.0","nan","36.0","nan","2"
"11","Trilocale via Indro Montanelli, Manara - Cavagnari, Parma","600.0","3","75.0","nan","2"
"12","Monolocale Strada Nino Bixio, Parco Ducale - Oltretorrente, Parma","500.0","nan","25.0","nan","2"
"13","Bilocale via Alberto Riva, Parco Ducale - Oltretorrente, Parma","450.0","2","40.0","nan","2"
"14","Trilocale Borgo Mameli, Centro Storico, Parma","1800.0","3","105.0","2","2"
"15","Trilocale via Giuseppe Verdi, Centro Storico, Parma","1250.0","3","120.0","2","2"
"16","Bilocale via Carlo Majorano 6, Ospedale - Volturno, Parma","800.0","2","55.0","nan","2"
"17","Trilocale via Emilia Est 54, San Lazzaro, Parma","1050.0","3","80.0","2","2"
"18","Trilocale via Emilia Est 54, San Lazzaro, Parma","1050.0","3","80.0","2","2"
"19","Bilocale via Emilia Est 54, San Lazzaro, Parma","850.0","2","68.0","nan","2"
"20","Trilocale via Venezia, San Leonardo, Parma","1350.0","3","106.0","2","2"
"21","Trilocale Str. Nino Bixio 41, Parco Ducale - Oltretorrente, Parma","1200.0","3","90.0","2","2"
"22","Trilocale Borgo Amadio Ronchini, Centro Storico, Parma","1500.0","3","105.0","2","2"
