"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Trilocale corso Camillo Benso di Cavour 31, Magenta - Arnaldo, Brescia","700.0","3","66.0","nan","3"
"2","Appartamento via Tosio, Magenta - Arnaldo, Brescia","1500.0","5","160.0","2","3"
"3","Trilocale via Malta 26, Brescia Due, Brescia","1450.0","3","90.0","nan","3"
"4","Bilocale via Tosio 28, Brescia","1100.0","2","80.0","nan","3"
"5","Palazzo - Edificio via Fratelli Cairoli 19, Loggia - Garibaldi, Brescia","2500.0","5+","360.0","2","3"
"6","Trilocale via Rodi, Brescia Due, Brescia","1100.0","3","150.0","2","3"
"7","Bilocale via Malta 26, Brescia Due, Brescia","1050.0","2","55.0","nan","3"
"8","Trilocale via Guido Puletti 10, San Polo Vecchio, Brescia","1250.0","3","90.0","2","3"
"9","Mansarda piazza Paolo VI, Magenta - Arnaldo, Brescia","3750.0","5","180.0","3","3"
"10","Appartamento Contrada di Santa Croce 13, Loggia - Garibaldi, Brescia","2150.0","5","250.0","2","3"
"11","Bilocale via Mantova, Porta Venezia, Brescia","680.0","2","70.0","nan","3"
"12","Bilocale via Gabriele Rosa 24, Magenta - Arnaldo, Brescia","1000.0","2","82.0","nan","3"
"13","Bilocale via Malta 26, Brescia Due, Brescia","1300.0","2","55.0","nan","3"
"14","Trilocale via Achille Papa, Crocifissa di Rosa, Brescia","1000.0","3","110.0","nan","3"
"15","Trilocale via Achille Papa 42, Crocifissa di Rosa, Brescia","1000.0","3","110.0","nan","3"
"16","Bilocale Contrada Santa Croce 28, Loggia - Garibaldi, Brescia","900.0","2","75.0","nan","3"
"17","Villa unifamiliare via del Goletto, Crocifissa di Rosa, Brescia","4000.0","5+","385.0","3+","3"
"18","Trilocale via San Rocchino 149, Ospedale Civile, Brescia","840.0","3","75.0","nan","3"
"19","Appartamento via Tosio, Magenta - Arnaldo, Brescia","1500.0","5+","160.0","2","3"
"20","Trilocale via Crocifissa di Rosa 42, Crocifissa di Rosa, Brescia","650.0","3","75.0","nan","3"
"21","Trilocale via Guido Zadei, Via Veneto - Borgo Trento, Brescia","nan","3","63.0","nan","3"
"22","Trilocale via Aurelio Saffi 16, Solferino - Diaz, Brescia","nan","3","70.0","nan","3"
"23","Monolocale via Cipro 88, Brescia Due, Brescia","370.0","nan","9.0","2","3"
"24","Bilocale vicolo delle Vidazze 8, Loggia - Garibaldi, Brescia","650.0","2","60.0","nan","3"
"25","Trilocale viale Venezia 32, Porta Venezia, Brescia","900.0","3","120.0","2","3"
"26","Trilocale via Carlo Goldoni, Sant'Eufemia - Caionvico, Brescia","1000.0","3","130.0","2","1"
"27","Appartamento via 20 Settembre, Solferino - Diaz, Brescia","2250.0","5+","200.0","2","1"
"28","Quadrilocale via Francesco Rismondo 18, Via Veneto - Borgo Trento, Brescia","1150.0","4","120.0","nan","1"
"29","Trilocale via Fabio Filzi 31, Via Veneto - Borgo Trento, Brescia","700.0","3","70.0","nan","1"
"30","Trilocale viale Venezia 20, Solferino - Diaz, Brescia","1300.0","3","80.0","2","1"
"31","Quadrilocale via Costalunga, Ospedale Civile, Brescia","1500.0","4","160.0","2","1"
"32","Quadrilocale corso Giuseppe Zanardelli, Magenta - Arnaldo, Brescia","1600.0","4","110.0","nan","1"
"33","Quadrilocale corso Giuseppe Zanardelli, Magenta - Arnaldo, Brescia","1600.0","4","100.0","2","1"
"34","Palazzo - Edificio via Sorbanella, Chiesanuova, Brescia","9999.0","5+","1.0","3+","1"
"35","Monolocale via della Palazzina 45, Brescia Due, Brescia","400.0","nan","28.0","nan","1"
"36","Trilocale piazza Cesare Battisti 12, Crocifissa di Rosa, Brescia","750.0","3","80.0","nan","1"
"37","Trilocale via della Garzetta 23, Ospedale Civile, Brescia","550.0","3","80.0","nan","1"
"38","Loft via Privata De Vitalis 18b, Brescia Due, Brescia","1000.0","nan","38.0","nan","1"
"39","Trilocale corso Giacomo Matteotti 17, Loggia - Garibaldi, Brescia","670.0","3","83.0","nan","1"
"40","Trilocale via Elia Capriolo 12, Carmine, Brescia","1300.0","3","120.0","2","1"
"41","Bilocale via Fratelli Lechi 15, Porta Venezia, Brescia","600.0","2","55.0","nan","1"
"42","Monolocale via Marcantonio Ducco 21, Ospedale Civile, Brescia","700.0","nan","45.0","nan","1"
"43","Quadrilocale corso Martiri della Libertà, Loggia - Garibaldi, Brescia","1500.0","4","130.0","2","1"
"44","Bilocale via Triumplina 177, Casazza, Brescia","850.0","2","65.0","nan","1"
"45","Bilocale via Solferino 4, Solferino - Diaz, Brescia","550.0","2","60.0","nan","1"
"46","Appartamento via Fratelli Cairoli 17, Loggia - Garibaldi, Brescia","2500.0","5","340.0","2","1"
"47","Trilocale C.so Palestro, Loggia - Garibaldi, Brescia","850.0","3","79.0","nan","1"
"48","Quadrilocale corso Giuseppe Zanardelli, Magenta - Arnaldo, Brescia","1600.0","4","110.0","nan","1"
"49","Trilocale via Giovanni Chiassi 7, Crocifissa di Rosa, Brescia","850.0","3","104.0","nan","1"
"50","Quadrilocale Contrada del Carmine 26, Carmine, Brescia","1200.0","4","130.0","2","1"
"51","Appartamento via del santellone 120, Sant'Anna, Brescia","2800.0","5+","500.0","3+","1"
"52","Bilocale via Cipro 88, Brescia Due, Brescia","430.0","2","14.0","2","1"
"53","Bilocale vicolo Deserto 9, Castello - Via Musei, Brescia","550.0","2","40.0","nan","1"
