"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale via del Pino, Galcianese - Il Pino, Prato","650.0","2","50.0","nan","3"
"2","Appartamento via Dino Pizzicori, Maliseti, Prato","950.0","5","120.0","nan","3"
"3","Appartamento viale della Repubblica, Repubblica, Prato","2200.0","5","200.0","3","3"
"4","Bilocale via Guilianti, Iolo, Prato","750.0","2","74.0","2","3"
"5","Quadrilocale via Brasimone, Sant'Ippolito, Prato","800.0","4","85.0","nan","3"
"6","Trilocale via Giuseppe Mazzoni 34, Centro Storico - Duomo, Prato","750.0","3","65.0","nan","3"
"7","Quadrilocale via 27 Aprile 23, Iolo, Prato","1000.0","4","97.0","nan","3"
"8","Bilocale piazza Mercatale 77, Centro Storico - Duomo, Prato","1000.0","2","70.0","nan","3"
"9","Quadrilocale via del Fondaccio, Galciana, Prato","1500.0","4","113.0","2","3"
"10","Quadrilocale via di Galceti, Galceti, Prato","750.0","4","100.0","2","3"
"11","Appartamento via di Cerreto e Solano, Figline, Prato","1000.0","5","130.0","3","3"
"12","Appartamento via Eugenio Fantaccini, Coiano, Prato","1200.0","5+","182.0","2","3"
"13","Trilocale via Carbonaia, Centro Storico - San Francesco, Prato","1200.0","3","80.0","nan","3"
"14","Appartamento via Firenze 41, Stazione - Stadio, Prato","900.0","5","116.0","2","3"
"15","Trilocale via Montalese 52, Sacrocuore, Prato","670.0","3","75.0","nan","3"
"16","Villa a schiera via delle Calvane, Paperino, Prato","3000.0","5+","260.0","3","3"
"17","Trilocale ottimo stato, secondo piano, Villa Fiorita, Prato","1100.0","3","114.0","2","3"
"18","Appartamento buono stato, piano terra, Santa Lucia, Prato","1000.0","5","157.0","2","3"
"19","Appartamento in villa via del Leone, Castelnuovo, Prato","1500.0","5","150.0","2","3"
"20","Bilocale via di carteano, Castellina, Prato","900.0","2","50.0","nan","3"
"21","Terratetto plurifamiliare via 27 Aprile, Iolo, Prato","5000.0","5+","560.0","2","3"
"22","Trilocale ottimo stato, piano terra, San Giusto, Prato","730.0","3","63.0","nan","3"
"23","Bilocale ottimo stato, piano terra, San Giusto, Prato","690.0","2","63.0","nan","3"
"24","Quadrilocale buono stato, secondo piano, Tavola, Prato","2500.0","4","280.0","nan","3"
"25","Quadrilocale via del Leone, Castelnuovo, Prato","1599.0","4","140.0","2","3"
"26","Bilocale buono stato, primo piano, Centro Storico - San Francesco, Prato","700.0","2","60.0","nan","1"
"27","Quadrilocale buono stato, quarto piano, Chiesanuova, Prato","1200.0","4","95.0","2","1"
"28","Bilocale via dei Trebbi, Sant'Ippolito, Prato","1000.0","2","70.0","nan","1"
"29","Bilocale buono stato, piano terra, Chiesanuova, Prato","900.0","2","46.0","nan","1"
"30","Bilocale ottimo stato, secondo piano, Centro Storico - Duomo, Prato","720.0","2","45.0","nan","1"
"31","Trilocale Vaiano, Prato","1000.0","3","75.0","nan","1"
"32","Trilocale buono stato, primo piano, Vergaio - Tobbiana, Prato","800.0","3","70.0","nan","1"
"33","Terratetto unifamiliare 70 m², ottimo stato, Prato","1200.0","2","70.0","nan","1"
"34","Bilocale ottimo stato, piano terra, Sant'Ippolito, Prato","800.0","2","45.0","nan","1"
"35","Bilocale ottimo stato, piano rialzato, Sant'Ippolito, Prato","1000.0","2","70.0","nan","1"
"36","Appartamento in villa, ottimo stato, 80 m², Iolo, Prato","750.0","2","80.0","nan","1"
"37","Trilocale via Pallacorda 12, Centro Storico - San Francesco, Prato","900.0","3","100.0","nan","1"
"38","Casa colonica via del Leone 120, Castelnuovo, Prato","1599.0","4","140.0","2","1"
"39","Monolocale via Roma 317/g, Cafaggio - Grignano, Prato","500.0","nan","35.0","nan","1"
"40","Trilocale via Adriano Zarini 273, Zarini - Valentini, Prato","300.0","3","75.0","nan","1"
"41","Mansarda piazza del Collegio 13, Centro Storico - San Francesco, Prato","600.0","nan","35.0","nan","1"
"42","Monolocale via del Vergaio 8, Centro Storico - Duomo, Prato","750.0","nan","30.0","nan","1"
"43","Quadrilocale via Antonio Garella 47, Mezzana, Prato","1200.0","4","125.0","2","1"
