"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Monolocale Vico Sant'Agostino 7, Isola - Città Vecchia, Taranto","650.0","nan","56.0","nan","1"
"2","Bilocale via Giuseppe De Cesare, Borgo, Taranto","550.0","2","84.0","nan","1"
"3","Trilocale via Gustavo Lanza 4, Italia - Montegranaro, Taranto","850.0","3","114.0","2","1"
"4","Trilocale via Pitagora 3, Borgo, Taranto","575.0","3","94.0","nan","1"
"5","Appartamento via Pitagora 24, Borgo, Taranto","850.0","5","150.0","nan","1"
"6","Quadrilocale via Renato Dario Lupo 48, Italia - Montegranaro, Taranto","650.0","4","102.0","nan","1"
"7","Trilocale via Guglielmo Oberdan 92, Borgo, Taranto","550.0","3","94.0","nan","1"
"8","Appartamento corso Umberto, Borgo, Taranto","700.0","5+","160.0","2","1"
"9","Attico via Vincenzo Pupino 21, Borgo, Taranto","750.0","3","111.0","2","1"
"10","Bilocale via Alberto Sordi, Taranto 2 - Salinella, Taranto","500.0","2","85.0","nan","1"
"11","Quadrilocale via Lago di Garda 1, Taranto 2 - Salinella, Taranto","500.0","4","100.0","nan","1"
"12","Quadrilocale via Genova 55, Tre Carrare, Taranto","570.0","4","110.0","nan","1"
"13","Quadrilocale via Sciabelle 11, San Vito - Carelli, Taranto","650.0","4","117.0","2","1"
"14","Bilocale via Cataldo Nitti 76, Borgo, Taranto","500.0","2","70.0","nan","1"
"15","Trilocale via Lombardia 42, Italia - Montegranaro, Taranto","600.0","3","110.0","nan","1"
"16","Appartamento via Nicola Mignogna 2, Borgo, Taranto","550.0","5","110.0","nan","1"
"17","Trilocale via Zara 55, Tre Carrare, Taranto","650.0","3","105.0","nan","1"
"18","Bilocale via Polibio 73, Tre Carrare, Taranto","450.0","2","80.0","nan","1"
"19","Trilocale via Generale Giuseppe Messina 76, Tre Carrare, Taranto","600.0","3","110.0","nan","1"
"20","Trilocale corso UMBERTO, 179, Borgo, Taranto","450.0","3","85.0","nan","1"
"21","Trilocale viale Magna Grecia 197, Solito - Corvisea, Taranto","750.0","3","115.0","2","1"
"22","Palazzo - Edificio via Giuseppe De Cesare, Borgo, Taranto","1000.0","5","160.0","2","1"
"23","Trilocale via Fiume, Solito - Corvisea, Taranto","550.0","3","110.0","nan","1"
"24","Bilocale via Crispi 54, Borgo, Taranto","600.0","2","48.0","nan","1"
"25","Loft via Lido Bruno 77, San Vito - Carelli, Taranto","850.0","2","50.0","nan","1"
"26","Bilocale via Felice Cavallotti 6, Borgo, Taranto","600.0","2","80.0","nan","1"
"27","Monolocale via Dante Alighieri 173, Tre Carrare, Taranto","600.0","nan","40.0","nan","1"
"28","Appartamento via Fratelli Mellone, Tre Carrare, Taranto","650.0","5","160.0","nan","1"
"29","Quadrilocale via Regina Elena 29, Borgo, Taranto","700.0","4","170.0","2","1"
"30","Trilocale via Pitagora 146, Borgo, Taranto","550.0","3","90.0","nan","1"
"31","Appartamento via Rombi 1, San Vito - Carelli, Taranto","1500.0","5","125.0","2","1"
"32","Quadrilocale buono stato, quinto piano, Paolo VI, Taranto","570.0","4","120.0","nan","1"
"33","Trilocale via Niccolò Tommaso d'Aquino 50, Borgo, Taranto","1000.0","3","153.0","nan","1"
"34","Appartamento via FRATELLI MELLONE, Tre Carrare, Taranto","650.0","5","160.0","nan","1"
"35","Trilocale viale Magna Grecia, 197, Italia - Montegranaro, Taranto","750.0","3","115.0","2","1"
"36","Quadrilocale via Leonida da Taranto 101, Italia - Montegranaro, Taranto","650.0","4","110.0","nan","1"
"37","Quadrilocale viale Magna Grecia, Italia - Montegranaro, Taranto","1200.0","4","120.0","2","1"
"38","Appartamento piazza Giovanni Xxiii, Borgo, Taranto","2000.0","nan","140.0","nan","1"
"39","Quadrilocale piazza John Fitzgerald Kennedy, Borgo, Taranto","750.0","4","160.0","2","1"
"40","Bilocale via Cugini , 49A, Tre Carrare, Taranto","400.0","2","65.0","nan","1"
"41","Bilocale via Campania 6, Italia - Montegranaro, Taranto","450.0","2","80.0","nan","1"
"42","Trilocale via Leonida da Taranto 84, Borgo, Taranto","600.0","3","95.0","nan","1"
"43","Quadrilocale corso Umberto I 185, Borgo, Taranto","750.0","4","120.0","nan","1"
"44","Quadrilocale via Giovine, 2, Tre Carrare, Taranto","600.0","4","125.0","2","1"
"45","Quadrilocale via Romagna, 70, Italia - Montegranaro, Taranto","500.0","4","85.0","nan","1"
"46","Trilocale via Angelo Berardi, Borgo, Taranto","800.0","3","100.0","nan","1"
"47","Trilocale buono stato, quinto piano, Borgo, Taranto","400.0","3","90.0","2","1"
"48","Bilocale via Pitagora 24, Borgo, Taranto","530.0","2","60.0","nan","1"
"49","Bilocale 60 m², Borgo, Taranto","500.0","2","60.0","nan","1"
"50","Bilocale via Duca degli Abruzzi 127, Borgo, Taranto","370.0","2","50.0","nan","1"
"51","Quadrilocale piano rialzato, Borgo, Taranto","600.0","4","85.0","nan","R"
"52","Quadrilocale corso Umberto I 69, Borgo, Taranto","1100.0","4","120.0","2","R"
"53","Quadrilocale via Pitagora 102, Borgo, Taranto","1200.0","4","130.0","3","R"
"54","Trilocale via Veneto 7, Italia - Montegranaro, Taranto","550.0","3","90.0","nan","R"
"55","Palazzo - Edificio via Toscana, Italia - Montegranaro, Taranto","500.0","3","85.0","nan","R"
"56","Bilocale via Angelo Berardi 21, Borgo, Taranto","450.0","2","80.0","nan","R"
"57","Trilocale via Angelo Berardi, Borgo, Taranto","800.0","3","105.0","nan","R"
"58","Quadrilocale via Salina Grande 5, Taranto 2 - Salinella, Taranto","700.0","4","120.0","2","R"
"59","Trilocale via Pisa 37, Solito - Corvisea, Taranto","600.0","3","90.0","nan","R"
"60","Quadrilocale via Antonio Canova 38, Talsano - San Donato, Taranto","600.0","4","100.0","nan","R"
"61","Quadrilocale via Enrico Millo 22, Tre Carrare, Taranto","650.0","4","100.0","2","R"
"62","Quadrilocale via Pettinesse 19, San Vito - Carelli, Taranto","700.0","4","120.0","2","R"
"63","Trilocale via Giovanni Giovine, Tre Carrare, Taranto","600.0","3","80.0","nan","R"
"64","Villa bifamiliare via Ombrine 11, San Vito - Carelli, Taranto","850.0","5+","180.0","nan","R"
"65","Monolocale via Guglielmo Oberdan 4, Borgo, Taranto","400.0","nan","48.0","nan","R"
"66","Villa bifamiliare via del Faro 116, San Vito - Carelli, Taranto","1000.0","5","170.0","2","R"
"67","Trilocale via Giuseppe Mazzini 193, Borgo, Taranto","520.0","3","70.0","nan","R"
"68","Appartamento via Girasoli 163, San Vito - Carelli, Taranto","650.0","5+","125.0","2","R"
"69","Bilocale via Guglielmo Oberdan 109, Tre Carrare, Taranto","390.0","2","70.0","nan","R"
"70","Quadrilocale via Vizzarro, San Vito - Carelli, Taranto","600.0","4","120.0","2","R"
"71","Bilocale via Umbria 87, Italia - Montegranaro, Taranto","585.0","2","70.0","nan","R"
"72","Trilocale via Federico Di Palma, Borgo, Taranto","600.0","3","90.0","nan","R"
"73","Trilocale via Guglielmo Oberdan, Borgo, Taranto","550.0","3","68.0","nan","R"
"74","Villa unifamiliare viale Jonio 412, San Vito - Carelli, Taranto","800.0","4","125.0","nan","R"
"75","Trilocale via Lucania 120, Italia - Montegranaro, Taranto","700.0","3","90.0","nan","R"
"76","Appartamento via Piave 85, Talsano - San Donato, Taranto","650.0","5","100.0","2","1"
"77","Trilocale via Campania 221, Italia - Montegranaro, Taranto","650.0","3","110.0","nan","1"
"78","Appartamento via Padre Primaldo Coco 6, Solito - Corvisea, Taranto","800.0","5","150.0","2","1"
"79","Trilocale piazza Giovanni XXIII, Borgo, Taranto","800.0","3","150.0","3","1"
"80","Bilocale via Cataldo Nitti 58, Borgo, Taranto","500.0","2","65.0","nan","1"
"81","Quadrilocale via Campania 6, Italia - Montegranaro, Taranto","100.0","4","120.0","nan","1"
"82","Trilocale via Pitagora 75, Borgo, Taranto","600.0","3","80.0","nan","1"
"83","Quadrilocale corso Umberto I 124, Borgo, Taranto","550.0","4","91.0","nan","1"
"84","Bilocale via Giovanni Giovine 3, Tre Carrare, Taranto","420.0","2","80.0","nan","1"
"85","Palazzo - Edificio via Principe Amedeo 316, Tre Carrare, Taranto","3200.0","nan","1.0","nan","1"
"86","Bilocale via Generale Pietro De Laclos 1, Borgo, Taranto","470.0","2","51.0","nan","1"
"87","Bilocale via Felice Cavallotti, Borgo, Taranto","350.0","2","55.0","nan","1"
"88","Quadrilocale via Mormore, San Vito - Carelli, Taranto","1050.0","4","140.0","2","1"
"89","Bilocale via Padre Bonaventura Morone 36, Tre Carrare, Taranto","500.0","2","41.0","nan","1"
"90","Appartamento viale Unicef 42, Solito - Corvisea, Taranto","800.0","5+","140.0","2","1"
"91","Villa unifamiliare via dei Mandarini 11, Taranto","2200.0","nan","100.0","nan","1"
"92","Bilocale viale Jonio 388, San Vito - Carelli, Taranto","500.0","2","30.0","nan","1"
"93","Bilocale via Plinio 37, Tre Carrare, Taranto","530.0","2","45.0","nan","1"
