"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale via Carteria 24, Centro Storico, Modena","540.0","2","40.0","nan","1"
"2","Appartamento Stradello Toni, Albareto - Mulini Nuovi, Modena","1200.0","5+","152.0","2","1"
"3","Quadrilocale viale Gaetano Moreali 101, Sant'Agnese - Università, Modena","1150.0","4","91.0","2","1"
"4","Quadrilocale corso Camillo Benso di Cavour, Centro Storico, Modena","2000.0","4","90.0","2","1"
"5","Bilocale viale Jacopo Barozzi 92, San Faustino, Modena","1200.0","2","53.0","nan","1"
"6","Villa a schiera 4 locali, buono stato, Crocetta, Modena","1600.0","4","180.0","3","1"
"7","Appartamento via Muratori, Viali, Modena","2000.0","5+","250.0","3","1"
"8","Appartamento viale Alessandro Tassoni, Viali, Modena","1800.0","5","189.0","2","1"
"9","Quadrilocale via Taggia, Sant'Agnese - Università, Modena","1500.0","4","89.0","nan","1"
"10","Trilocale via Luigi Vaccari, Buon Pastore - Parco Amendola, Modena","2000.0","3","121.0","2","1"
"11","Bilocale via Luigi Valdrighi, Sant'Agnese - Università, Modena","580.0","2","36.0","nan","1"
"12","Bilocale via Pier Luigi da Palestina 59, Centro Storico, Modena","450.0","2","14.0","nan","1"
"13","Appartamento cesare costa, San Cataldo, Modena","1000.0","5","100.0","nan","1"
"14","Trilocale via Vincenzo Bellini, Musicisti, Modena","1200.0","3","85.0","nan","1"
"15","Appartamento via Nicolò Cavallerini, Centro Storico, Modena","2500.0","5+","220.0","3","1"
"16","Appartamento in villa via dei Traeri 22, Cognento, Modena","3000.0","5","152.0","3","1"
"17","Bilocale via Ferruccio Lamborghini, Crocetta, Modena","930.0","2","58.0","nan","1"
"18","Trilocale corso Canalgrande 94, Centro Storico, Modena","1500.0","3","100.0","2","1"
"19","Quadrilocale via Mascherella 28, Centro Storico, Modena","850.0","4","93.0","nan","1"
"20","Appartamento Strada Grande 85, San Damaso, Modena","1100.0","5","110.0","2","1"
"21","Bilocale via Saragozza 130, Centro Storico, Modena","2000.0","2","65.0","nan","1"
"22","Quadrilocale via Pietro Giannone, Viali, Modena","1000.0","4","98.0","2","1"
"23","Quadrilocale via Cesare Battisti 18, Centro Storico, Modena","2500.0","4","80.0","2","1"
"24","Quadrilocale viale Ciro Menotti, Crocetta, Modena","1210.0","4","95.0","2","1"
"25","Appartamento via Taglio, Centro Storico, Modena","2900.0","5+","250.0","3","1"
"26","Bilocale via Emilia Est 649, San Lazzaro, Modena","1200.0","2","40.0","nan","2"
"27","Trilocale via Nazario Sauro, Centro Storico, Modena","850.0","3","70.0","nan","2"
"28","Quadrilocale via Lodovico Ricci, Crocetta, Modena","1300.0","4","112.0","2","2"
"29","Monolocale via Sant'Eufemia, Centro Storico, Modena","1200.0","nan","30.0","nan","2"
"30","Quadrilocale via Francesco Selmi, Centro Storico, Modena","2600.0","4","85.0","2","2"
"31","Trilocale via Sgarzeria 16, Centro Storico, Modena","840.0","3","65.0","nan","2"
"32","Trilocale via morone, Centro Storico, Modena","840.0","3","75.0","nan","2"
"33","Appartamento viale Caduti in Guerra 1A, Centro Storico, Modena","3600.0","5+","300.0","3+","2"
"34","Bilocale via Emilio Giorgi 42, Sant'Agnese - Università, Modena","800.0","2","40.0","nan","2"
"35","Trilocale corso Canalchiaro, Centro Storico, Modena","860.0","3","57.0","nan","2"
"36","Trilocale via Domenico Barbanti, Buon Pastore - Parco Amendola, Modena","1100.0","3","80.0","nan","2"
"37","Villa unifamiliare via Carlo Sigonio, Buon Pastore - Parco Amendola, Modena","3200.0","5","300.0","2","2"
"38","Appartamento via San Caterina, Crocetta, Modena","1400.0","5","140.0","nan","2"
"39","Monolocale via giorgi 42, Centro Storico, Modena","450.0","nan","14.0","nan","2"
"40","Attico via Camatta, Centro Storico, Modena","950.0","2","45.0","nan","2"
"41","Bilocale via Leopoldo Nobili, Villaggio Giardino, Modena","700.0","2","50.0","nan","2"
"42","Quadrilocale via Enrichetta Castiglioni 26, Viali, Modena","2500.0","4","85.0","2","2"
"43","Appartamento via Carlo Lorenzini Collodi, Madonnina - Tre Olmi, Modena","1400.0","5","120.0","2","2"
"44","Quadrilocale via Francesco Selmi 52A, Centro Storico, Modena","1600.0","4","85.0","2","2"
"45","Bilocale via Nonantolana 1362, Albareto - Mulini Nuovi, Modena","900.0","2","58.0","nan","2"
"46","Bilocale via Carlo Sigonio, Buon Pastore - Parco Amendola, Modena","1000.0","2","65.0","nan","2"
"47","Bilocale viale Virginia Reiter, Viali, Modena","1300.0","2","80.0","2","2"
"48","Appartamento viale Vittorio Veneto, Centro Storico, Modena","1200.0","5","135.0","nan","2"
"49","Trilocale sant'agostino, Centro Storico, Modena","1150.0","3","75.0","nan","2"
"50","Quadrilocale via Valdagno 21, Portile - Paganine, Modena","600.0","4","90.0","nan","2"
"51","Trilocale via San Pietro, Centro Storico, Modena","950.0","3","75.0","nan","2"
"52","Appartamento corso Canalgrande, Centro Storico, Modena","2300.0","5+","203.0","2","2"
"53","Trilocale via dei Gallucci 35, Centro Storico, Modena","1300.0","3","80.0","nan","2"
"54","Villa unifamiliare via Giotto, Buon Pastore - Parco Amendola, Modena","3500.0","5+","220.0","3","2"
"55","Bilocale via Ganaceto 35, Centro Storico, Modena","740.0","2","58.0","nan","2"
"56","Quadrilocale via Carlo Lorenzini Collodi, Madonnina - Tre Olmi, Modena","1200.0","4","105.0","2","2"
"57","Quadrilocale viale Virginia Reiter, Viali, Modena","1500.0","4","200.0","2","2"
"58","Trilocale via San Pietro, Centro Storico, Modena","950.0","3","105.0","2","2"
"59","Quadrilocale via Emilia centro , 168, Centro Storico, Modena","1200.0","4","115.0","2","2"
"60","Trilocale viale Buon Pastore, Buon Pastore - Parco Amendola, Modena","760.0","3","80.0","nan","2"
"61","Quadrilocale via Santa Lucia, Portile - Paganine, Modena","1500.0","4","100.0","2","2"
"62","Quadrilocale via Taglio, Centro Storico, Modena","1900.0","4","130.0","2","2"
"63","Trilocale ottimo stato, primo piano, Centro Storico, Modena","1200.0","3","60.0","nan","2"
"64","Quadrilocale ottimo stato, primo piano, Centro Storico, Modena","2100.0","4","190.0","3","2"
"65","Quadrilocale buono stato, terzo piano, Musicisti, Modena","726.0","4","107.0","nan","2"
"66","Trilocale via San Paolo 31, Centro Storico, Modena","1000.0","3","90.0","2","2"
"67","Bilocale largo Hannover 33, Centro Storico, Modena","950.0","2","40.0","nan","2"
"68","Quadrilocale via Cesare Battisti, Centro Storico, Modena","2500.0","4","80.0","2","2"
"69","Appartamento ottimo stato, primo piano, Sant'Agnese - Università, Modena","1200.0","5","144.0","2","2"
"70","Trilocale via Oreste Chiossi 82, Portile - Paganine, Modena","1800.0","3","164.0","2","2"
"71","Appartamento via Taglio, 1000, Centro Storico, Modena","1100.0","5+","160.0","2","2"
"72","Quadrilocale ottimo stato, secondo piano, Centro Storico, Modena","1800.0","4","120.0","2","2"
"73","Quadrilocale viale Gaetano Moreali, Sant'Agnese - Università, Modena","1200.0","4","105.0","2","2"
"74","Monolocale via Emilia Est 649, San Lazzaro, Modena","800.0","nan","25.0","nan","2"
"75","Bilocale via Nazario Sauro 44, Centro Storico, Modena","1200.0","2","25.0","nan","2"
